scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",9986460.0835,12656857.6687,8330464.7118,17842691.6222,14350540.5450,6073503.1272
"BINARY_LENGTH=128,scenario_label=long-prefix",9898943.8732,14920724.1133,8349914.7158,19120543.1205,5456715.4847,4542121.2621
"BINARY_LENGTH=128,scenario_label=medium-prefix",9988030.6686,12646106.9977,8315167.2566,17945648.4257,7501768.6600,5416618.8996
"BINARY_LENGTH=128,scenario_label=random",10139763.5425,8677680.6897,8351491.6152,15966434.9058,10954783.1348,6649198.0920
"BINARY_LENGTH=160,scenario_label=clustered",11919968.6485,13705667.9919,9857781.2703,20846619.0920,16105245.0015,7074727.4746
"BINARY_LENGTH=160,scenario_label=long-prefix",11785170.1213,17594139.3768,9838065.3897,22928211.9303,5780438.0413,5151930.0273
"BINARY_LENGTH=160,scenario_label=medium-prefix",11891075.6156,14638136.8189,9828276.3621,21443936.0186,8361292.8716,6093170.2096
"BINARY_LENGTH=160,scenario_label=random",12066150.5720,9717773.7519,9876114.5588,18970344.5679,12672303.1036,7647723.3872
"BINARY_LENGTH=64,scenario_label=clustered",5146702.2360,7372794.4605,5347056.3387,11472016.3294,8802578.7084,2271824.9857
"BINARY_LENGTH=64,scenario_label=long-prefix",5155678.2279,7226164.2199,5354313.0064,11483749.1666,3985394.5521,2435913.8437
"BINARY_LENGTH=64,scenario_label=medium-prefix",6192221.8217,8618183.2365,5345454.9660,10948399.1440,5783226.3256,4015167.9995
"BINARY_LENGTH=64,scenario_label=random",6270038.3020,6583414.5821,5347701.5600,9958993.5542,7500736.1124,4645656.2376
"BINARY_LENGTH=96,scenario_label=clustered",8063178.7043,11628268.0574,6845083.6748,14837436.4894,12610843.3736,5075620.7944
"BINARY_LENGTH=96,scenario_label=long-prefix",7977538.8368,12093587.1491,6849182.2809,15311891.5790,5090078.5858,3603202.4379
"BINARY_LENGTH=96,scenario_label=medium-prefix",8093864.6361,10628780.9149,6830380.8189,14446921.1633,6641218.1909,4722432.2257
"BINARY_LENGTH=96,scenario_label=random",8206650.2090,7630604.3249,6838763.7439,12962802.5581,9226919.1955,5649036.7900
