scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",19943.0537,25238.8465,16675.2903,35664.4150,28653.6585,12150.6557
"BINARY_LENGTH=128,scenario_label=long-prefix",19774.1877,29691.4989,16702.7692,38221.4951,10907.2295,9038.2867
"BINARY_LENGTH=128,scenario_label=medium-prefix",19947.9196,25225.1022,16646.6506,35871.5727,15001.7236,10772.1198
"BINARY_LENGTH=128,scenario_label=random",20246.2053,17323.0432,16689.8654,31914.4203,21893.8679,13252.0471
"BINARY_LENGTH=160,scenario_label=clustered",23811.1475,27328.4398,19707.9253,41670.4563,32141.8705,14158.4656
"BINARY_LENGTH=160,scenario_label=long-prefix",23539.1583,35008.3729,19672.4632,45832.9349,11557.5439,10253.2185
"BINARY_LENGTH=160,scenario_label=medium-prefix",23737.4207,29192.7814,19681.3113,42865.1313,16717.7942,12140.0602
"BINARY_LENGTH=160,scenario_label=random",24107.6689,19411.8259,19723.1797,37918.4726,25332.1548,15248.2676
"BINARY_LENGTH=64,scenario_label=clustered",10286.6932,14684.4434,10695.3459,22931.4563,17572.5750,4530.0656
"BINARY_LENGTH=64,scenario_label=long-prefix",10294.4894,14391.6375,10706.9356,22955.6280,7967.6757,4817.7750
"BINARY_LENGTH=64,scenario_label=medium-prefix",12376.7933,17175.9715,10683.2164,21885.0659,11554.9249,7987.2317
"BINARY_LENGTH=64,scenario_label=random",12523.4619,13137.4337,10689.8858,19906.3299,14994.0109,9240.2115
"BINARY_LENGTH=96,scenario_label=clustered",16109.7448,23172.1717,13693.2758,29657.6315,25172.8535,10164.7644
"BINARY_LENGTH=96,scenario_label=long-prefix",15944.6237,24081.4427,13697.7201,30607.6333,10173.0808,7154.5056
"BINARY_LENGTH=96,scenario_label=medium-prefix",16164.3328,21192.4953,13673.6047,28878.1878,13274.8568,9398.5198
"BINARY_LENGTH=96,scenario_label=random",16388.1260,15233.5934,13679.5110,25910.4750,18446.1395,11249.2031
