scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",1804.2594,3054.9165,487.6898,4890.4169,3421.6092,1094.0735
"BINARY_LENGTH=128,scenario_label=long-prefix",2568.3035,4206.1470,489.0626,5712.4518,1312.6684,1017.8720
"BINARY_LENGTH=128,scenario_label=medium-prefix",1863.4002,3094.9272,487.6450,4955.7064,1312.9906,906.9519
"BINARY_LENGTH=128,scenario_label=random",675.9287,1163.4645,488.1686,3681.2683,1312.8797,663.6996
"BINARY_LENGTH=160,scenario_label=clustered",1806.0993,3054.6229,489.9928,5530.1535,3422.0848,1095.1578
"BINARY_LENGTH=160,scenario_label=long-prefix",3054.4154,4992.5900,489.9866,6870.1723,1313.2152,1145.0410
"BINARY_LENGTH=160,scenario_label=medium-prefix",2160.7716,3562.1746,487.9741,5914.3644,1312.4388,966.0271
"BINARY_LENGTH=160,scenario_label=random",675.9891,1163.1450,491.3462,4321.2894,1312.4617,663.2369
"BINARY_LENGTH=64,scenario_label=clustered",1361.1432,1980.7235,488.9350,3378.4543,2580.6816,498.5298
"BINARY_LENGTH=64,scenario_label=long-prefix",1363.0774,1943.0888,489.8397,3383.3424,1057.2840,548.4420
"BINARY_LENGTH=64,scenario_label=medium-prefix",1269.0118,2142.3544,487.9125,3038.5117,1312.8992,782.5809
"BINARY_LENGTH=64,scenario_label=random",675.2958,1163.0525,490.2603,2401.2567,1312.1806,662.2434
"BINARY_LENGTH=96,scenario_label=clustered",1807.2727,3058.5344,487.6661,4250.5678,3422.3698,1096.2054
"BINARY_LENGTH=96,scenario_label=long-prefix",2073.1972,3376.6204,488.2627,4554.0180,1297.7036,797.0794
"BINARY_LENGTH=96,scenario_label=medium-prefix",1566.2539,2617.4259,488.1659,3997.0744,1312.5450,847.0244
"BINARY_LENGTH=96,scenario_label=random",675.6370,1163.3454,487.8333,3041.2816,1312.7499,663.3402
