scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",34896.5200,44672.0400,19937.7800,19928.8000,17438.0000,15547.4000
"BINARY_LENGTH=128,scenario_label=long-prefix",34869.1800,43566.3600,19976.0200,19956.8000,17226.1000,13788.6800
"BINARY_LENGTH=128,scenario_label=medium-prefix",34873.0800,43467.4200,19898.5800,19956.4400,17230.4200,13798.4000
"BINARY_LENGTH=128,scenario_label=random",34885.0600,43285.6200,19969.5600,19956.7200,17231.1200,13800.3200
"BINARY_LENGTH=160,scenario_label=clustered",34864.4800,44669.3400,19977.7400,19926.9200,17433.7200,15558.1400
"BINARY_LENGTH=160,scenario_label=long-prefix",34918.8400,43717.5000,19925.5600,19956.6000,17232.2600,13785.2400
"BINARY_LENGTH=160,scenario_label=medium-prefix",34913.5400,43505.4000,19940.2200,19956.6400,17223.1200,13785.5800
"BINARY_LENGTH=160,scenario_label=random",34922.4000,43273.6200,19989.6200,19956.8400,17225.7400,13791.4000
"BINARY_LENGTH=64,scenario_label=clustered",24480.5200,32818.0200,19915.4800,19928.4800,15190.1800,10547.6400
"BINARY_LENGTH=64,scenario_label=long-prefix",24481.9600,31801.9800,19939.1800,19956.9600,14784.5000,11027.0000
"BINARY_LENGTH=64,scenario_label=medium-prefix",34876.6600,43405.7400,19905.8600,19956.7200,17229.8800,13781.0000
"BINARY_LENGTH=64,scenario_label=random",34885.5000,43268.8800,19878.7200,19956.6800,17222.8600,13773.7200
"BINARY_LENGTH=96,scenario_label=clustered",34901.0400,44723.8200,19960.1800,19929.3400,17448.5800,15568.3800
"BINARY_LENGTH=96,scenario_label=long-prefix",34585.6800,42653.8800,19963.8800,19956.7600,17079.3400,13646.6000
"BINARY_LENGTH=96,scenario_label=medium-prefix",34903.5600,43426.0200,19912.8400,19956.4800,17226.0400,13807.7200
"BINARY_LENGTH=96,scenario_label=random",34956.3400,43283.1000,19930.3200,19956.4400,17229.8000,13794.2200
