scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",4459.9301,1798.7872,898.4304,3880.4942,1666.4753,658.7369
"BINARY_LENGTH=128,scenario_label=long-prefix",936.8278,2394.8332,898.4946,986.9534,345.6054,306.3170
"BINARY_LENGTH=128,scenario_label=medium-prefix",2899.8059,1842.6312,898.6683,3003.7924,725.6245,501.4399
"BINARY_LENGTH=128,scenario_label=random",6206.1864,911.6664,898.3802,6401.1787,1365.6191,821.4262
"BINARY_LENGTH=160,scenario_label=clustered",6348.6782,1973.6335,1058.7152,5577.9025,1986.9831,820.7228
"BINARY_LENGTH=160,scenario_label=long-prefix",1246.8868,2947.9635,1058.9498,1305.1214,405.6199,340.6651
"BINARY_LENGTH=160,scenario_label=medium-prefix",3726.4016,2249.9275,1058.3696,3853.6137,885.6181,581.4042
"BINARY_LENGTH=160,scenario_label=random",7859.8448,1086.4401,1058.8962,8101.5098,1685.6151,981.4191
"BINARY_LENGTH=64,scenario_label=clustered",1240.6377,1273.6495,578.7661,884.9350,956.5986,304.9982
"BINARY_LENGTH=64,scenario_label=long-prefix",329.4110,1273.6589,578.9045,356.1578,210.0000,180.0000
"BINARY_LENGTH=64,scenario_label=medium-prefix",1246.6993,1027.7656,578.6435,1305.3419,405.6192,340.6410
"BINARY_LENGTH=64,scenario_label=random",2899.5361,562.1868,579.3392,3003.9877,725.6003,501.3289
"BINARY_LENGTH=96,scenario_label=clustered",2584.2832,1623.9532,738.2987,2136.3679,1346.1956,498.7271
"BINARY_LENGTH=96,scenario_label=long-prefix",627.2501,1841.0684,738.4062,668.6553,285.0067,251.7982
"BINARY_LENGTH=96,scenario_label=medium-prefix",2073.0287,1435.1977,738.6733,2154.3380,565.6081,421.4798
"BINARY_LENGTH=96,scenario_label=random",4552.9466,737.3928,738.4950,4701.7737,1045.6210,661.4297
