scenario_point,DQTA(k_max=3),DRCT,EMDT,LAPCT,NLHQT(n=2),SGCT
"BINARY_LENGTH=128,scenario_label=clustered",6264.1895,4853.7037,1386.1202,8770.9111,5088.0844,1752.8103
"BINARY_LENGTH=128,scenario_label=long-prefix",3505.1312,6600.9802,1387.5572,6699.4052,1658.2738,1324.1890
"BINARY_LENGTH=128,scenario_label=medium-prefix",4763.2061,4937.5585,1386.3133,7959.4988,2038.6150,1408.3918
"BINARY_LENGTH=128,scenario_label=random",6882.1151,2075.1309,1386.5487,10082.4470,2678.4988,1485.1259
"BINARY_LENGTH=160,scenario_label=clustered",8154.7775,5028.2564,1548.7080,11108.0560,5409.0679,1915.8805
"BINARY_LENGTH=160,scenario_label=long-prefix",4301.3023,7940.5535,1548.9364,8175.2937,1718.8351,1485.7061
"BINARY_LENGTH=160,scenario_label=medium-prefix",5887.1731,5812.1021,1546.3437,9767.9781,2198.0569,1547.4313
"BINARY_LENGTH=160,scenario_label=random",8535.8339,2249.5851,1550.2424,12422.7993,2998.0768,1644.6561
"BINARY_LENGTH=64,scenario_label=clustered",2601.7809,3254.3730,1067.7011,4263.3893,3537.2801,803.5280
"BINARY_LENGTH=64,scenario_label=long-prefix",1692.4884,3216.7477,1068.7442,3739.5002,1267.2840,728.4420
"BINARY_LENGTH=64,scenario_label=medium-prefix",2515.7111,3170.1200,1066.5560,4343.8537,1718.5184,1123.2219
"BINARY_LENGTH=64,scenario_label=random",3574.8319,1725.2393,1069.5995,5405.2444,2037.7810,1163.5723
"BINARY_LENGTH=96,scenario_label=clustered",4391.5560,4682.4876,1225.9648,6386.9357,4768.5654,1594.9325
"BINARY_LENGTH=96,scenario_label=long-prefix",2700.4472,5217.6888,1226.6690,5222.6734,1582.7103,1048.8776
"BINARY_LENGTH=96,scenario_label=medium-prefix",3639.2826,4052.6237,1226.8392,6151.4124,1878.1531,1268.5042
"BINARY_LENGTH=96,scenario_label=random",5228.5836,1900.7383,1226.3283,7743.0553,2358.3709,1324.7698
