scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",1.1066,0.7042,1.2105,2.1395,6.1559,0.9190,0.5502,3.3231
"TOTAL_TAGS=100,prefix_length=16",1.1094,0.6354,1.1960,2.1612,5.6025,0.9198,0.5507,3.4159
"TOTAL_TAGS=100,prefix_length=32",1.1337,0.5782,1.1854,2.0480,5.3799,0.9185,0.5501,3.3155
"TOTAL_TAGS=100,prefix_length=48",1.1129,0.5221,1.2257,2.0138,5.5555,0.9190,0.5424,3.2199
"TOTAL_TAGS=100,prefix_length=64",1.1216,0.4850,1.2094,2.0208,6.4352,0.9195,0.5504,59.8333
"TOTAL_TAGS=100,prefix_length=72",1.1045,0.4635,1.1935,1.9726,5.6040,0.9185,0.5463,50.4500
"TOTAL_TAGS=100,prefix_length=80",1.1065,0.4558,1.2185,2.0901,6.0238,0.9190,0.5441,47.8333
"TOTAL_TAGS=100,prefix_length=88",1.2345,0.5031,1.2417,2.0207,5.7019,0.9183,0.6490,100.0000
"TOTAL_TAGS=1000,prefix_length=0",1.0811,0.6949,1.2076,1.8094,0.3955,0.9613,0.5461,2.0598
"TOTAL_TAGS=1000,prefix_length=16",1.0781,0.6906,1.2020,1.8368,0.3998,0.9615,0.5477,2.0697
"TOTAL_TAGS=1000,prefix_length=32",1.0878,0.6813,1.1975,1.7773,0.3966,0.9612,0.5512,2.0629
"TOTAL_TAGS=1000,prefix_length=48",1.0825,0.6721,1.2028,1.8513,0.3996,0.9611,0.5500,2.0713
"TOTAL_TAGS=1000,prefix_length=64",1.0785,0.6629,1.2071,1.8040,0.3973,0.9612,0.5492,4.7862
"TOTAL_TAGS=1000,prefix_length=72",1.0806,0.6605,1.2077,1.7824,0.3980,0.9612,0.5500,4.7846
"TOTAL_TAGS=1000,prefix_length=80",1.0917,0.6765,1.2082,1.8117,0.3985,0.9614,0.5621,5.1640
"TOTAL_TAGS=10000,prefix_length=0",1.0774,0.6924,1.2040,1.6801,0.0684,0.9959,0.5493,5.2847
"TOTAL_TAGS=10000,prefix_length=16",1.0785,0.6925,1.2024,1.6723,0.0684,0.9959,0.5491,5.2860
"TOTAL_TAGS=10000,prefix_length=32",1.0778,0.6925,1.2055,1.6786,0.0681,0.9959,0.5489,5.2892
"TOTAL_TAGS=10000,prefix_length=48",1.0792,0.6903,1.2019,1.6895,0.0685,0.9959,0.5492,5.3125
"TOTAL_TAGS=10000,prefix_length=64",1.0778,0.6898,1.2025,1.6789,0.0686,0.9959,0.5482,5.2438
"TOTAL_TAGS=10000,prefix_length=72",1.0771,0.6916,1.2037,1.6730,0.0681,0.9959,0.5492,5.2535
"TOTAL_TAGS=10000,prefix_length=80",1.1653,0.7966,1.2029,1.6833,0.0688,0.9959,0.6079,19.4932
