scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",27.3556,47.0140,146.2184,28.8992,128.4184,142.6656,54.1312,37.8622
"TOTAL_TAGS=100,prefix_length=16",41.8986,77.3544,159.9572,28.5472,130.1872,156.8328,54.2100,42.5164
"TOTAL_TAGS=100,prefix_length=32",55.3980,109.3570,173.8804,29.2688,125.6992,171.2276,54.3288,48.2108
"TOTAL_TAGS=100,prefix_length=48",71.1124,145.2190,185.2728,29.3700,126.6716,185.4124,55.1020,54.0416
"TOTAL_TAGS=100,prefix_length=64",84.8184,181.7598,199.4336,29.2732,127.0984,199.5336,54.7960,26.0980
"TOTAL_TAGS=100,prefix_length=72",93.5460,202.7188,207.1708,29.1676,124.7400,206.8266,55.1632,27.1580
"TOTAL_TAGS=100,prefix_length=80",100.9098,217.4976,211.9784,28.9300,127.7584,213.9420,55.3796,26.1350
"TOTAL_TAGS=100,prefix_length=88",96.3720,201.2670,216.6008,28.9872,122.0032,220.5566,46.4900,23.7100
"TOTAL_TAGS=1000,prefix_length=0",30.6902,52.7047,146.1372,27.9976,104.2571,147.7549,60.0931,52.3089
"TOTAL_TAGS=1000,prefix_length=16",45.6272,77.8299,159.6065,28.0469,103.0119,163.0829,60.0292,59.9142
"TOTAL_TAGS=1000,prefix_length=32",59.9166,103.0168,173.1241,27.8876,103.4642,178.3721,59.7749,67.8014
"TOTAL_TAGS=1000,prefix_length=48",75.0289,127.8092,186.1873,28.1609,102.7022,193.7006,59.8548,75.3733
"TOTAL_TAGS=1000,prefix_length=64",90.1738,153.7035,199.1813,27.9840,103.1752,209.0331,59.9738,46.8571
"TOTAL_TAGS=1000,prefix_length=72",97.4082,165.8610,205.7651,28.1274,103.3494,216.6959,59.9017,47.8567
"TOTAL_TAGS=1000,prefix_length=80",103.6805,172.8641,212.3441,27.9638,103.0269,224.3149,58.8954,38.3103
"TOTAL_TAGS=10000,prefix_length=0",33.7637,58.2355,146.2063,24.3854,356.9324,152.0633,65.5921,33.1406
"TOTAL_TAGS=10000,prefix_length=16",48.5637,82.9036,159.5562,24.4049,357.0587,167.9907,65.6067,36.1707
"TOTAL_TAGS=10000,prefix_length=32",63.4475,106.9263,172.7175,24.4822,358.3142,183.9222,65.6254,39.1939
"TOTAL_TAGS=10000,prefix_length=48",78.1891,130.9491,186.2014,24.4091,356.3528,199.8546,65.5897,42.1359
"TOTAL_TAGS=10000,prefix_length=64",93.1428,154.8372,199.4693,24.3965,356.1293,215.7901,65.6825,45.3690
"TOTAL_TAGS=10000,prefix_length=72",100.6275,166.0970,206.0352,24.4111,357.9906,223.7502,65.6130,44.3105
"TOTAL_TAGS=10000,prefix_length=80",99.3553,153.6220,212.7469,24.4002,354.8398,231.4327,60.1515,29.3225
