scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",536.9750,127.7102,140.6176,127.9744,115.2864,458.2592,202.4596,118.2062
"TOTAL_TAGS=100,prefix_length=16",441.5968,175.8464,119.2898,127.3472,115.3888,378.9780,170.4368,102.0466
"TOTAL_TAGS=100,prefix_length=32",346.1800,221.1790,97.0448,127.9744,115.5616,299.8960,138.4320,86.1330
"TOTAL_TAGS=100,prefix_length=48",254.1496,268.3662,73.3388,127.9808,115.7760,219.8354,106.4972,70.2498
"TOTAL_TAGS=100,prefix_length=64",160.2822,314.4590,51.7830,127.9776,115.2160,140.6410,74.4560,33.3208
"TOTAL_TAGS=100,prefix_length=72",113.8708,337.5654,40.3182,127.6416,115.6544,100.9250,58.4876,25.3000
"TOTAL_TAGS=100,prefix_length=80",66.7106,360.6758,29.0644,127.6576,115.5328,60.9596,42.4968,17.0680
"TOTAL_TAGS=100,prefix_length=88",21.5308,381.5604,17.7898,127.3312,115.7056,22.1560,23.9980,9.0000
"TOTAL_TAGS=1000,prefix_length=0",727.4771,138.4879,140.4487,139.5014,152.5130,661.5146,205.8184,130.0263
"TOTAL_TAGS=1000,prefix_length=16",598.2099,184.0501,118.6399,139.7235,152.0646,544.6642,173.8119,113.9999
"TOTAL_TAGS=1000,prefix_length=32",467.4368,230.7370,96.4465,139.1453,152.3930,427.0920,141.7812,98.0300
"TOTAL_TAGS=1000,prefix_length=48",338.4572,277.1640,73.7220,139.8803,152.1200,310.2372,109.7930,82.0128
"TOTAL_TAGS=1000,prefix_length=64",208.9003,323.7614,51.4306,139.3878,152.3302,193.3104,77.8023,36.5001
"TOTAL_TAGS=1000,prefix_length=72",144.0280,347.0342,40.1964,139.4128,152.2717,134.8264,61.7946,27.4373
"TOTAL_TAGS=1000,prefix_length=80",79.2153,370.1008,29.1844,139.4989,152.2205,76.4022,45.6018,17.5433
"TOTAL_TAGS=10000,prefix_length=0",910.5298,147.3917,140.7078,147.6792,346.0659,940.4043,209.1204,132.2791
"TOTAL_TAGS=10000,prefix_length=16",745.0354,193.9156,118.4424,147.6281,346.1203,770.6521,177.1192,116.2742
"TOTAL_TAGS=10000,prefix_length=32",579.8372,240.5471,96.0271,147.7763,347.0324,600.7096,145.1203,100.2727
"TOTAL_TAGS=10000,prefix_length=48",414.5279,287.0100,73.8861,147.7735,345.6162,430.9635,113.1189,84.2616
"TOTAL_TAGS=10000,prefix_length=64",249.3431,333.5343,51.5026,147.6705,345.4732,261.0583,81.1293,68.1616
"TOTAL_TAGS=10000,prefix_length=72",166.7222,356.7544,40.3310,147.6434,346.8739,176.1183,65.1192,58.9736
"TOTAL_TAGS=10000,prefix_length=80",84.8172,378.6164,29.1948,147.7149,344.5852,91.6990,47.8340,42.0000
