scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",2.9384,7.9620,3.7872,3.6620,12.4880,5.9646,6.2298,2.6416
"TOTAL_TAGS=100,prefix_length=16",2.9290,23.9348,3.8104,3.6390,11.6802,5.9660,6.2184,2.6260
"TOTAL_TAGS=100,prefix_length=32",2.9138,39.9648,3.8208,3.6932,11.3334,5.9738,6.2160,2.6368
"TOTAL_TAGS=100,prefix_length=48",2.9304,56.0038,3.7676,3.6944,11.5766,5.9642,6.2486,2.6528
"TOTAL_TAGS=100,prefix_length=64",2.9264,71.9850,3.8004,3.7040,12.4386,5.9720,6.2280,1.0400
"TOTAL_TAGS=100,prefix_length=72",2.9396,79.9936,3.7952,3.7356,11.4258,5.9788,6.2438,1.0544
"TOTAL_TAGS=100,prefix_length=80",2.9396,87.9270,3.7732,3.6758,12.3828,5.9716,6.2552,1.0552
"TOTAL_TAGS=100,prefix_length=88",2.7692,95.1434,3.7284,3.7256,11.2102,5.8648,5.7682,1.0000
"TOTAL_TAGS=1000,prefix_length=0",4.0523,11.2965,3.7825,4.5243,84.1103,8.3150,7.9092,4.0049
"TOTAL_TAGS=1000,prefix_length=16",4.0551,27.2828,3.7942,4.5130,84.1503,8.3174,7.9060,4.0025
"TOTAL_TAGS=1000,prefix_length=32",4.0451,43.2829,3.7997,4.5391,82.0573,8.3083,7.8906,4.0040
"TOTAL_TAGS=1000,prefix_length=48",4.0517,59.2969,3.7866,4.5127,82.5471,8.3112,7.8965,4.0026
"TOTAL_TAGS=1000,prefix_length=64",4.0542,75.3069,3.7850,4.5270,85.4120,8.3130,7.9012,1.4376
"TOTAL_TAGS=1000,prefix_length=72",4.0541,83.2984,3.7767,4.5426,83.9949,8.3141,7.8976,1.4386
"TOTAL_TAGS=1000,prefix_length=80",4.0381,91.2026,3.7851,4.5238,83.1311,8.3071,7.8482,1.4051
"TOTAL_TAGS=10000,prefix_length=0",5.1655,14.6239,3.7881,5.3147,253.9269,11.6153,9.5602,4.2831
"TOTAL_TAGS=10000,prefix_length=16",5.1639,30.6192,3.7897,5.3214,252.9328,11.6164,9.5596,4.2829
"TOTAL_TAGS=10000,prefix_length=32",5.1644,46.6174,3.7861,5.3182,255.4560,11.6150,9.5602,4.2827
"TOTAL_TAGS=10000,prefix_length=48",5.1637,62.6231,3.7924,5.3104,252.6064,11.6177,9.5595,4.2814
"TOTAL_TAGS=10000,prefix_length=64",5.1656,78.6231,3.7900,5.3168,253.6189,11.6174,9.5647,4.2864
"TOTAL_TAGS=10000,prefix_length=72",5.1661,86.6130,3.7887,5.3223,254.3931,11.6165,9.5614,4.2854
"TOTAL_TAGS=10000,prefix_length=80",5.0659,94.1377,3.7906,5.3134,249.7120,11.5745,9.3092,4.0000
