scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",564.3306,174.7242,286.8360,156.8736,243.7048,600.9248,256.5908,156.0684
"TOTAL_TAGS=100,prefix_length=16",483.4954,253.2008,279.2470,155.8944,245.5760,535.8108,224.6468,144.5630
"TOTAL_TAGS=100,prefix_length=32",401.5780,330.5360,270.9252,157.2432,241.2608,471.1236,192.7608,134.3438
"TOTAL_TAGS=100,prefix_length=48",325.2620,413.5852,258.6116,157.3508,242.4476,405.2478,161.5992,124.2914
"TOTAL_TAGS=100,prefix_length=64",245.1006,496.2188,251.2166,157.2508,242.3144,340.1746,129.2520,59.4188
"TOTAL_TAGS=100,prefix_length=72",207.4168,540.2842,247.4890,156.8092,240.3944,307.7516,113.6508,52.4580
"TOTAL_TAGS=100,prefix_length=80",167.6204,578.1734,241.0428,156.5876,243.2912,274.9016,97.8764,43.2030
"TOTAL_TAGS=100,prefix_length=88",117.9028,582.8274,234.3906,156.3184,237.7088,242.7126,70.4880,32.7100
"TOTAL_TAGS=1000,prefix_length=0",758.1673,191.1926,286.5859,167.4991,256.7701,809.2695,265.9116,182.3351
"TOTAL_TAGS=1000,prefix_length=16",643.8371,261.8801,278.2463,167.7704,255.0766,707.7471,233.8411,173.9142
"TOTAL_TAGS=1000,prefix_length=32",527.3534,333.7538,269.5707,167.0329,255.8572,605.4641,201.5562,165.8313
"TOTAL_TAGS=1000,prefix_length=48",413.4861,404.9732,259.9093,168.0412,254.8222,503.9378,169.6478,157.3861
"TOTAL_TAGS=1000,prefix_length=64",299.0740,477.4649,250.6119,167.3718,255.5054,402.3435,137.7761,83.3572
"TOTAL_TAGS=1000,prefix_length=72",241.4362,512.8952,245.9616,167.5402,255.6211,351.5223,121.6963,75.2941
"TOTAL_TAGS=1000,prefix_length=80",182.8958,542.9649,241.5285,167.4626,255.2474,300.7171,104.4972,55.8536
"TOTAL_TAGS=10000,prefix_length=0",944.2935,205.6272,286.9141,172.0646,702.9982,1092.4676,274.7125,165.4196
"TOTAL_TAGS=10000,prefix_length=16",793.5991,276.8192,277.9986,172.0330,703.1790,938.6427,242.7259,152.4449
"TOTAL_TAGS=10000,prefix_length=32",643.2846,347.4735,268.7446,172.2585,705.3466,784.6318,210.7457,139.4666
"TOTAL_TAGS=10000,prefix_length=48",492.7170,417.9591,260.0874,172.1826,701.9691,630.8182,178.7086,126.3975
"TOTAL_TAGS=10000,prefix_length=64",342.4859,488.3715,250.9719,172.0670,701.6025,476.8484,146.8119,113.5306
"TOTAL_TAGS=10000,prefix_length=72",267.3497,522.8514,246.3662,172.0545,704.8645,399.8685,130.7322,103.2841
"TOTAL_TAGS=10000,prefix_length=80",184.1725,532.2383,241.9417,172.1150,699.4250,323.1317,107.9855,71.3225
