scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",90.6800,142.7200,83.1200,48.6400,20.5400,108.8200,182.0400,30.9800
"TOTAL_TAGS=100,prefix_length=16",90.4000,157.8800,84.0000,48.4600,21.1800,108.7200,181.9400,30.2400
"TOTAL_TAGS=100,prefix_length=32",88.6000,173.3800,84.7600,50.2400,22.2600,108.8800,182.0800,31.1000
"TOTAL_TAGS=100,prefix_length=48",90.2800,191.8600,82.0800,50.5600,23.6000,108.8200,184.7200,31.7800
"TOTAL_TAGS=100,prefix_length=64",89.4000,206.7000,83.1200,50.6000,20.1000,108.7600,182.0200,2.0000
"TOTAL_TAGS=100,prefix_length=72",90.8400,216.1600,84.1600,52.3400,22.8400,108.8800,183.4000,2.7200
"TOTAL_TAGS=100,prefix_length=80",90.8000,219.7000,82.4800,49.6600,22.0800,108.8200,184.0400,2.7600
"TOTAL_TAGS=100,prefix_length=88",81.4000,198.8400,80.9600,52.0800,23.1600,108.9000,154.1400,0.0000
"TOTAL_TAGS=1000,prefix_length=0",925.3200,1439.4200,828.5600,555.2000,2532.0600,1040.2400,1831.4200,485.7400
"TOTAL_TAGS=1000,prefix_length=16",927.8400,1448.6800,832.3200,546.7600,2504.0400,1040.0800,1826.3200,483.3400
"TOTAL_TAGS=1000,prefix_length=32",919.5600,1468.3200,835.5200,565.3800,2524.5600,1040.4000,1814.7200,484.9400
"TOTAL_TAGS=1000,prefix_length=48",924.0800,1488.3400,831.8000,544.9800,2507.5000,1040.4800,1818.4000,483.0800
"TOTAL_TAGS=1000,prefix_length=64",927.5200,1508.8800,828.7200,557.7600,2520.6400,1040.3600,1821.0400,210.2200
"TOTAL_TAGS=1000,prefix_length=72",925.7200,1514.5600,828.3200,565.2000,2516.9800,1040.3200,1818.6600,210.4400
"TOTAL_TAGS=1000,prefix_length=80",916.5600,1478.5000,828.0400,554.6800,2513.7800,1040.2000,1779.2400,195.2800
"TOTAL_TAGS=10000,prefix_length=0",9281.6800,14442.4400,8305.6400,5953.8200,146291.1600,10041.4400,18206.8600,1893.1200
"TOTAL_TAGS=10000,prefix_length=16",9272.4800,14441.5400,8317.0000,5981.8200,146325.1800,10041.3600,18211.3200,1892.7000
"TOTAL_TAGS=10000,prefix_length=32",9278.9200,14441.8600,8295.5600,5959.0000,146895.2600,10041.4400,18220.1200,1891.9600
"TOTAL_TAGS=10000,prefix_length=48",9266.2400,14486.7800,8320.3600,5920.7800,146010.1400,10041.3600,18208.8800,1883.6400
"TOTAL_TAGS=10000,prefix_length=64",9278.0800,14497.0400,8316.6400,5958.9800,145920.7400,10041.4000,18240.6200,1907.7200
"TOTAL_TAGS=10000,prefix_length=72",9284.4800,14460.6200,8308.1600,5979.0200,146796.2000,10041.4800,18210.2200,1904.5600
"TOTAL_TAGS=10000,prefix_length=80",8581.8800,12553.4600,8313.8000,5942.3600,145365.7400,10041.2400,16450.2200,513.0000
