scenario_point,DRCT
"TOTAL_TAGS=100,prefix_length=0",7.4094
"TOTAL_TAGS=100,prefix_length=16",9.6654
"TOTAL_TAGS=100,prefix_length=32",12.0179
"TOTAL_TAGS=100,prefix_length=48",14.7025
"TOTAL_TAGS=100,prefix_length=64",17.7319
"TOTAL_TAGS=100,prefix_length=72",19.5973
"TOTAL_TAGS=100,prefix_length=80",20.8690
"TOTAL_TAGS=100,prefix_length=88",20.2088
"TOTAL_TAGS=1000,prefix_length=0",74.3921
"TOTAL_TAGS=1000,prefix_length=16",85.4309
"TOTAL_TAGS=1000,prefix_length=32",96.8136
"TOTAL_TAGS=1000,prefix_length=48",108.4155
"TOTAL_TAGS=1000,prefix_length=64",120.3649
"TOTAL_TAGS=1000,prefix_length=72",126.1872
"TOTAL_TAGS=1000,prefix_length=80",128.4800
"TOTAL_TAGS=10000,prefix_length=0",763.2508
"TOTAL_TAGS=10000,prefix_length=16",866.0401
"TOTAL_TAGS=10000,prefix_length=32",964.2369
"TOTAL_TAGS=10000,prefix_length=48",1063.6592
"TOTAL_TAGS=10000,prefix_length=64",1161.0976
"TOTAL_TAGS=10000,prefix_length=72",1206.6573
"TOTAL_TAGS=10000,prefix_length=80",1094.6868
