scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",104.4800,44.7200,0.0000,14.5800,463.1800,0.0600,0.0000,0.0000
"TOTAL_TAGS=100,prefix_length=16",100.6000,59.8800,0.0000,14.7800,470.5800,0.0200,0.0000,0.0000
"TOTAL_TAGS=100,prefix_length=32",98.0800,75.3800,0.0000,16.2400,449.1000,0.0800,0.0000,0.0000
"TOTAL_TAGS=100,prefix_length=48",101.7400,93.8600,0.0000,16.6800,452.1800,0.0400,0.0000,0.0000
"TOTAL_TAGS=100,prefix_length=64",105.3200,108.7000,0.0000,16.2400,457.6200,0.0000,0.0000,0.0000
"TOTAL_TAGS=100,prefix_length=72",104.0400,118.1600,0.0000,16.7800,444.1600,0.0200,0.0000,0.0000
"TOTAL_TAGS=100,prefix_length=80",101.4200,121.7000,0.0000,15.5600,458.6400,0.0600,0.0000,0.0000
"TOTAL_TAGS=100,prefix_length=88",30.8200,100.8400,0.0000,16.8800,431.4000,0.0000,0.0000,0.0000
"TOTAL_TAGS=1000,prefix_length=0",1074.0600,441.4200,0.0000,206.1200,1206.9000,0.0000,0.0000,0.0000
"TOTAL_TAGS=1000,prefix_length=16",1064.8800,450.6800,0.0000,202.0600,1178.3200,0.0000,0.0000,0.0000
"TOTAL_TAGS=1000,prefix_length=32",1060.2600,470.3200,0.0000,220.9000,1178.3600,0.0000,0.0000,0.0000
"TOTAL_TAGS=1000,prefix_length=48",1066.2600,490.3400,0.0000,198.3800,1160.7800,0.0000,0.0000,0.0000
"TOTAL_TAGS=1000,prefix_length=64",1058.6200,510.8800,0.0000,212.4200,1169.1400,0.0000,0.0000,0.0000
"TOTAL_TAGS=1000,prefix_length=72",1063.7800,516.5600,0.0000,216.0600,1180.7200,0.0000,0.0000,0.0000
"TOTAL_TAGS=1000,prefix_length=80",1037.5600,480.5000,0.0000,207.6200,1169.2600,0.0000,0.0000,0.0000
"TOTAL_TAGS=10000,prefix_length=0",10983.5400,4444.4400,0.0000,3983.3200,5950.8200,0.0000,0.0000,0.0000
"TOTAL_TAGS=10000,prefix_length=16",10955.0400,4443.5400,0.0000,4028.6200,5974.2400,0.0000,0.0000,0.0000
"TOTAL_TAGS=10000,prefix_length=32",10962.4400,4443.8600,0.0000,3970.9600,5974.8400,0.0000,0.0000,0.0000
"TOTAL_TAGS=10000,prefix_length=48",10955.7600,4488.7800,0.0000,3958.2400,5968.4200,0.0000,0.0000,0.0000
"TOTAL_TAGS=10000,prefix_length=64",10962.3800,4499.0400,0.0000,3987.1800,5956.2200,0.0000,0.0000,0.0000
"TOTAL_TAGS=10000,prefix_length=72",10974.4000,4462.6200,0.0000,3998.7600,5926.7800,0.0000,0.0000,0.0000
"TOTAL_TAGS=10000,prefix_length=80",8613.3200,2555.4600,0.0000,3973.9200,5925.1000,0.0000,0.0000,0.0000
