scenario_point,SGCT
"TOTAL_TAGS=100,prefix_length=0",1.0000
"TOTAL_TAGS=100,prefix_length=16",1.0000
"TOTAL_TAGS=100,prefix_length=32",1.0000
"TOTAL_TAGS=100,prefix_length=48",1.0000
"TOTAL_TAGS=100,prefix_length=64",1.0000
"TOTAL_TAGS=100,prefix_length=72",1.0000
"TOTAL_TAGS=100,prefix_length=80",1.0000
"TOTAL_TAGS=100,prefix_length=88",1.0000
"TOTAL_TAGS=1000,prefix_length=0",232.2200
"TOTAL_TAGS=1000,prefix_length=16",231.4800
"TOTAL_TAGS=1000,prefix_length=32",232.1000
"TOTAL_TAGS=1000,prefix_length=48",231.0200
"TOTAL_TAGS=1000,prefix_length=64",1.0000
"TOTAL_TAGS=1000,prefix_length=72",1.0000
"TOTAL_TAGS=1000,prefix_length=80",1.0000
"TOTAL_TAGS=10000,prefix_length=0",257.0000
"TOTAL_TAGS=10000,prefix_length=16",257.0000
"TOTAL_TAGS=10000,prefix_length=32",257.0000
"TOTAL_TAGS=10000,prefix_length=48",257.0000
"TOTAL_TAGS=10000,prefix_length=64",257.0000
"TOTAL_TAGS=10000,prefix_length=72",257.0000
"TOTAL_TAGS=10000,prefix_length=80",257.0000
