scenario_point,SGCT
"TOTAL_TAGS=100,prefix_length=0",0.0000
"TOTAL_TAGS=100,prefix_length=16",0.0000
"TOTAL_TAGS=100,prefix_length=32",0.0000
"TOTAL_TAGS=100,prefix_length=48",0.0000
"TOTAL_TAGS=100,prefix_length=64",0.0000
"TOTAL_TAGS=100,prefix_length=72",0.0800
"TOTAL_TAGS=100,prefix_length=80",1.3000
"TOTAL_TAGS=100,prefix_length=88",0.0000
"TOTAL_TAGS=1000,prefix_length=0",0.0000
"TOTAL_TAGS=1000,prefix_length=16",0.0000
"TOTAL_TAGS=1000,prefix_length=32",0.0000
"TOTAL_TAGS=1000,prefix_length=48",0.0000
"TOTAL_TAGS=1000,prefix_length=64",0.1400
"TOTAL_TAGS=1000,prefix_length=72",6.8600
"TOTAL_TAGS=1000,prefix_length=80",89.2400
"TOTAL_TAGS=10000,prefix_length=0",0.0000
"TOTAL_TAGS=10000,prefix_length=16",0.0000
"TOTAL_TAGS=10000,prefix_length=32",0.0000
"TOTAL_TAGS=10000,prefix_length=48",0.0000
"TOTAL_TAGS=10000,prefix_length=64",7.1400
"TOTAL_TAGS=10000,prefix_length=72",240.6000
"TOTAL_TAGS=10000,prefix_length=80",0.0000
