scenario_point,SGCT
"TOTAL_TAGS=100,prefix_length=0",8.0000
"TOTAL_TAGS=100,prefix_length=16",8.0000
"TOTAL_TAGS=100,prefix_length=32",8.0000
"TOTAL_TAGS=100,prefix_length=48",8.0000
"TOTAL_TAGS=100,prefix_length=64",12.0000
"TOTAL_TAGS=100,prefix_length=72",12.0000
"TOTAL_TAGS=100,prefix_length=80",12.0000
"TOTAL_TAGS=100,prefix_length=88",8.0000
"TOTAL_TAGS=1000,prefix_length=0",8.0000
"TOTAL_TAGS=1000,prefix_length=16",8.0000
"TOTAL_TAGS=1000,prefix_length=32",8.0000
"TOTAL_TAGS=1000,prefix_length=48",8.0000
"TOTAL_TAGS=1000,prefix_length=64",12.0000
"TOTAL_TAGS=1000,prefix_length=72",12.0000
"TOTAL_TAGS=1000,prefix_length=80",12.0000
"TOTAL_TAGS=10000,prefix_length=0",8.0000
"TOTAL_TAGS=10000,prefix_length=16",8.0000
"TOTAL_TAGS=10000,prefix_length=32",8.0000
"TOTAL_TAGS=10000,prefix_length=48",8.0000
"TOTAL_TAGS=10000,prefix_length=64",8.0000
"TOTAL_TAGS=10000,prefix_length=72",8.0000
"TOTAL_TAGS=10000,prefix_length=80",8.0000
