scenario_point,candidate,baseline,metric,candidate_mean,baseline_mean,mean_improvement,mean_improvement_pct,paired_t_stat,paired_t_p_value_normal_approx,cohens_d,win_rate,n
"TOTAL_TAGS=100,prefix_length=0",SGCT,DRCT,total_protocol_time_ms,123.135050,142.476025,19.340975,13.574898,19.700237,0.000000,2.786034,1.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,LAPCT,total_protocol_time_ms,123.135050,254.099850,130.964800,51.540684,204.585767,0.000000,28.932797,1.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,DQTA(k_max=3),total_protocol_time_ms,123.135050,162.020100,38.885050,24.000139,47.428123,0.000000,6.707349,1.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,EMDT,total_protocol_time_ms,123.135050,130.062050,6.927000,5.325919,4.540828,0.000006,0.642170,0.740000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,NLHQT(n=2),total_protocol_time_ms,123.135050,177.359150,54.224100,30.573049,139.308733,0.000000,19.701230,1.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,EAQ_CBB,total_protocol_time_ms,123.135050,223.737400,100.602350,44.964476,100.900930,0.000000,14.269546,1.000000,50
"TOTAL_TAGS=100,prefix_length=0",SGCT,HT_EEAC,total_protocol_time_ms,123.135050,271.470300,148.335250,54.641429,40.726920,0.000000,5.759656,1.000000,50
"TOTAL_TAGS=100,prefix_length=16",SGCT,DRCT,total_protocol_time_ms,118.793050,173.025225,54.232175,31.343508,39.208638,0.000000,5.544939,1.000000,50
"TOTAL_TAGS=100,prefix_length=16",SGCT,LAPCT,total_protocol_time_ms,118.793050,261.396450,142.603400,54.554452,182.346246,0.000000,25.787653,1.000000,50
"TOTAL_TAGS=100,prefix_length=16",SGCT,DQTA(k_max=3),total_protocol_time_ms,118.793050,160.757625,41.964575,26.104252,43.668503,0.000000,6.175659,1.000000,50
"TOTAL_TAGS=100,prefix_length=16",SGCT,EMDT,total_protocol_time_ms,118.793050,129.791700,10.998650,8.474078,6.533250,0.000000,0.923941,0.800000,50
"TOTAL_TAGS=100,prefix_length=16",SGCT,NLHQT(n=2),total_protocol_time_ms,118.793050,160.119900,41.326850,25.809940,71.288655,0.000000,10.081738,1.000000,50
"TOTAL_TAGS=100,prefix_length=16",SGCT,EAQ_CBB,total_protocol_time_ms,118.793050,237.047375,118.254325,49.886368,112.882336,0.000000,15.963973,1.000000,50
"TOTAL_TAGS=100,prefix_length=16",SGCT,HT_EEAC,total_protocol_time_ms,118.793050,274.260600,155.467550,56.686068,37.570129,0.000000,5.313219,1.000000,50
"TOTAL_TAGS=100,prefix_length=32",SGCT,DRCT,total_protocol_time_ms,116.092400,204.835600,88.743200,43.324110,54.589242,0.000000,7.720085,1.000000,50
"TOTAL_TAGS=100,prefix_length=32",SGCT,LAPCT,total_protocol_time_ms,116.092400,269.020950,152.928550,56.846335,167.696596,0.000000,23.715880,1.000000,50
"TOTAL_TAGS=100,prefix_length=32",SGCT,DQTA(k_max=3),total_protocol_time_ms,116.092400,157.661625,41.569225,26.366102,34.659588,0.000000,4.901606,1.000000,50
"TOTAL_TAGS=100,prefix_length=32",SGCT,EMDT,total_protocol_time_ms,116.092400,131.719800,15.627400,11.864124,10.136416,0.000000,1.433506,0.900000,50
"TOTAL_TAGS=100,prefix_length=32",SGCT,NLHQT(n=2),total_protocol_time_ms,116.092400,142.958300,26.865900,18.792823,39.557076,0.000000,5.594215,1.000000,50
"TOTAL_TAGS=100,prefix_length=32",SGCT,EAQ_CBB,total_protocol_time_ms,116.092400,250.452575,134.360175,53.646953,102.163675,0.000000,14.448125,1.000000,50
"TOTAL_TAGS=100,prefix_length=32",SGCT,HT_EEAC,total_protocol_time_ms,116.092400,267.505200,151.412800,56.601816,41.046859,0.000000,5.804902,1.000000,50
"TOTAL_TAGS=100,prefix_length=48",SGCT,DRCT,total_protocol_time_ms,113.502450,242.480325,128.977875,53.191068,76.177578,0.000000,10.773136,1.000000,50
"TOTAL_TAGS=100,prefix_length=48",SGCT,LAPCT,total_protocol_time_ms,113.502450,276.323950,162.821500,58.924136,172.604855,0.000000,24.410013,1.000000,50
"TOTAL_TAGS=100,prefix_length=48",SGCT,DQTA(k_max=3),total_protocol_time_ms,113.502450,159.166600,45.664150,28.689530,32.619350,0.000000,4.613073,1.000000,50
"TOTAL_TAGS=100,prefix_length=48",SGCT,EMDT,total_protocol_time_ms,113.502450,132.072200,18.569750,14.060302,13.936186,0.000000,1.970874,0.980000,50
"TOTAL_TAGS=100,prefix_length=48",SGCT,NLHQT(n=2),total_protocol_time_ms,113.502450,127.200200,13.697750,10.768654,17.509505,0.000000,2.476218,1.000000,50
"TOTAL_TAGS=100,prefix_length=48",SGCT,EAQ_CBB,total_protocol_time_ms,113.502450,259.845850,146.343400,56.319314,91.938375,0.000000,13.002050,1.000000,50
"TOTAL_TAGS=100,prefix_length=48",SGCT,HT_EEAC,total_protocol_time_ms,113.502450,269.157750,155.655300,57.830510,32.299405,0.000000,4.567826,1.000000,50
"TOTAL_TAGS=100,prefix_length=64",SGCT,DRCT,total_protocol_time_ms,86.915875,280.124375,193.208500,68.972398,89.827526,0.000000,12.703531,1.000000,50
"TOTAL_TAGS=100,prefix_length=64",SGCT,LAPCT,total_protocol_time_ms,86.915875,283.579200,196.663325,69.350405,461.881214,0.000000,65.319868,1.000000,50
"TOTAL_TAGS=100,prefix_length=64",SGCT,DQTA(k_max=3),total_protocol_time_ms,86.915875,157.327250,70.411375,44.754723,69.574368,0.000000,9.839302,1.000000,50
"TOTAL_TAGS=100,prefix_length=64",SGCT,EMDT,total_protocol_time_ms,86.915875,131.961000,45.045125,34.135180,37.837136,0.000000,5.350979,1.000000,50
"TOTAL_TAGS=100,prefix_length=64",SGCT,NLHQT(n=2),total_protocol_time_ms,86.915875,109.232600,22.316725,20.430462,50.844756,0.000000,7.190534,1.000000,50
"TOTAL_TAGS=100,prefix_length=64",SGCT,EAQ_CBB,total_protocol_time_ms,86.915875,273.627150,186.711275,68.235654,136.141373,0.000000,19.253298,1.000000,50
"TOTAL_TAGS=100,prefix_length=64",SGCT,HT_EEAC,total_protocol_time_ms,86.915875,269.392500,182.476625,67.736342,40.370105,0.000000,5.709195,1.000000,50
