scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",11.5800,6.1200,27.3600,21.0600,9.9000,10.7800,14.8200
"TOTAL_TAGS=100,prefix_length=16",11.1200,6.1800,27.5000,20.8200,9.7400,10.8000,14.5200
"TOTAL_TAGS=100,prefix_length=32",11.1600,6.1400,27.5200,21.2400,9.7600,10.8600,14.9800
"TOTAL_TAGS=100,prefix_length=48",11.2400,6.1800,27.7800,21.0600,9.8800,10.8800,15.2000
"TOTAL_TAGS=100,prefix_length=64",11.3400,6.1800,27.3600,21.0200,9.8800,10.7600,1.0000
"TOTAL_TAGS=100,prefix_length=72",11.1000,6.2200,27.5400,21.1800,9.7800,10.8000,1.4000
"TOTAL_TAGS=100,prefix_length=80",11.1600,6.2400,27.5800,21.0600,9.8200,10.6000,2.1800
"TOTAL_TAGS=100,prefix_length=88",11.4000,6.2000,27.6000,20.7600,9.5200,10.8800,0.0000
"TOTAL_TAGS=1000,prefix_length=0",19.1400,9.5200,248.7000,34.2400,14.0600,15.7200,231.2200
"TOTAL_TAGS=1000,prefix_length=16",19.4000,9.7000,248.5000,34.4000,14.2800,16.0000,230.4800
"TOTAL_TAGS=1000,prefix_length=32",19.6600,9.6400,248.2800,33.9600,14.3800,15.7200,231.1000
"TOTAL_TAGS=1000,prefix_length=48",19.5000,9.5600,248.4000,34.5000,14.3600,16.0000,230.0200
"TOTAL_TAGS=1000,prefix_length=64",19.5200,9.5800,248.7600,34.2600,14.4800,15.8400,104.6200
"TOTAL_TAGS=1000,prefix_length=72",19.4600,9.7000,249.2600,33.9200,14.4400,15.9000,104.9400
"TOTAL_TAGS=1000,prefix_length=80",19.4400,9.6800,247.8000,34.0000,14.2800,15.8600,98.6800
"TOTAL_TAGS=10000,prefix_length=0",27.4600,13.0400,2457.0400,46.8800,17.7800,21.0600,258.6000
"TOTAL_TAGS=10000,prefix_length=16",27.4000,12.9600,2458.4800,46.7800,17.7400,21.0400,258.3400
"TOTAL_TAGS=10000,prefix_length=32",27.4200,13.0800,2456.9000,46.8200,17.6200,21.0200,258.6000
"TOTAL_TAGS=10000,prefix_length=48",27.4200,13.0200,2456.3800,46.6000,17.7400,20.9600,258.2600
"TOTAL_TAGS=10000,prefix_length=64",27.5000,13.0000,2458.4000,46.6000,17.7200,21.1000,258.3200
"TOTAL_TAGS=10000,prefix_length=72",27.3200,13.0200,2457.2000,46.9000,17.7400,21.0800,258.8800
"TOTAL_TAGS=10000,prefix_length=80",27.5400,13.0400,2455.2400,46.7600,17.7400,21.1000,256.0000
