scenario_point,SGCT
"TOTAL_TAGS=100,prefix_length=0",16.0200
"TOTAL_TAGS=100,prefix_length=16",15.6400
"TOTAL_TAGS=100,prefix_length=32",16.0800
"TOTAL_TAGS=100,prefix_length=48",16.4000
"TOTAL_TAGS=100,prefix_length=64",1.0000
"TOTAL_TAGS=100,prefix_length=72",1.3600
"TOTAL_TAGS=100,prefix_length=80",1.3800
"TOTAL_TAGS=100,prefix_length=88",0.0000
"TOTAL_TAGS=1000,prefix_length=0",249.2600
"TOTAL_TAGS=1000,prefix_length=16",247.8400
"TOTAL_TAGS=1000,prefix_length=32",249.0200
"TOTAL_TAGS=1000,prefix_length=48",248.0600
"TOTAL_TAGS=1000,prefix_length=64",105.2200
"TOTAL_TAGS=1000,prefix_length=72",105.2200
"TOTAL_TAGS=1000,prefix_length=80",97.6400
"TOTAL_TAGS=10000,prefix_length=0",948.4200
"TOTAL_TAGS=10000,prefix_length=16",948.0400
"TOTAL_TAGS=10000,prefix_length=32",947.5800
"TOTAL_TAGS=10000,prefix_length=48",943.4000
"TOTAL_TAGS=10000,prefix_length=64",954.3600
"TOTAL_TAGS=10000,prefix_length=72",952.7800
"TOTAL_TAGS=10000,prefix_length=80",257.0000
