BINARY_LENGTH,id_distribution,TOTAL_TAGS,prefix_length,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,peak_unidentified_tags_count,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
96,prefixed,100,0,"TOTAL_TAGS=100,prefix_length=0",0.000000,True,True,formal_sgct_prefix_sweep,40209917,2427732191,164060.000000,2843.000000,53839.000000,336,851.180500,32.605500,883.786000,100,100,96,93,,,,,,,,,,,,,,,,,,,,2.950000,,609.533098,DQTA(k_max=3),0,10.000000,,,,,,,289,0.346021,538.390000,28.430000,56682.000000,566.820000,1.075269,164.060000,,,,,,
96,prefixed,100,16,"TOTAL_TAGS=100,prefix_length=16",0.000000,True,True,formal_sgct_prefix_sweep,2859458651,2287119026,161913.750000,4222.000000,43430.000000,345,848.232875,30.159000,878.391875,100,100,108,91,,,,,,,,,,,,,,,,,,,,2.880000,,617.612772,DQTA(k_max=3),0,11.000000,,,,,,,299,0.334448,434.300000,42.220000,47652.000000,476.520000,1.098901,161.913750,,,,,,
96,prefixed,100,32,"TOTAL_TAGS=100,prefix_length=32",0.000000,True,True,formal_sgct_prefix_sweep,40187542,3985050695,153306.250000,5293.000000,34049.000000,328,780.113875,27.610500,807.724375,100,100,100,85,,,,,,,,,,,,,,,,,,,,2.860000,,652.289127,DQTA(k_max=3),0,10.000000,,,,,,,285,0.350877,340.490000,52.930000,39342.000000,393.420000,1.176471,153.306250,,,,,,
96,prefixed,100,48,"TOTAL_TAGS=100,prefix_length=48",0.000000,True,True,formal_sgct_prefix_sweep,3898346797,3184152789,166081.250000,7474.000000,25504.000000,356,861.038625,27.700000,888.738625,100,100,113,95,,,,,,,,,,,,,,,,,,,,2.940000,,602.114929,DQTA(k_max=3),0,11.000000,,,,,,,308,0.324675,255.040000,74.740000,32978.000000,329.780000,1.052632,166.081250,,,,,,
96,prefixed,100,64,"TOTAL_TAGS=100,prefix_length=64",0.000000,True,True,formal_sgct_prefix_sweep,839662286,1881489636,144688.750000,7677.000000,15828.000000,316,790.146625,23.268000,813.414625,100,100,94,81,,,,,,,,,,,,,,,,,,,,2.880000,,691.138737,DQTA(k_max=3),0,11.000000,,,,,,,275,0.363636,158.280000,76.770000,23505.000000,235.050000,1.234568,144.688750,,,,,,
96,prefixed,100,72,"TOTAL_TAGS=100,prefix_length=72",0.000000,True,True,formal_sgct_prefix_sweep,3072222657,3387224200,168115.000000,9977.000000,11408.000000,352,883.101125,25.658000,908.759125,100,100,106,97,,,,,,,,,,,,,,,,,,,,2.940000,,594.830919,DQTA(k_max=3),0,13.000000,,,,,,,303,0.330033,114.080000,99.770000,21385.000000,213.850000,1.030928,168.115000,,,,,,
96,prefixed,100,80,"TOTAL_TAGS=100,prefix_length=80",0.000000,True,True,formal_sgct_prefix_sweep,348379596,126955994,152677.500000,9666.000000,6616.000000,334,827.221125,22.640000,849.861125,100,100,103,87,,,,,,,,,,,,,,,,,,,,2.910000,,654.975357,DQTA(k_max=3),0,13.000000,,,,,,,290,0.344828,66.160000,96.660000,16282.000000,162.820000,1.149425,152.677500,,,,,,
96,prefixed,100,88,"TOTAL_TAGS=100,prefix_length=88",0.000000,True,True,formal_sgct_prefix_sweep,4068176166,1626864037,141228.750000,9828.000000,2158.000000,250,738.733500,20.735000,759.468500,100,100,25,83,,,,,,,,,,,,,,,,,,,,2.780000,,708.071126,DQTA(k_max=3),0,12.000000,,,,,,,208,0.480769,21.580000,98.280000,11986.000000,119.860000,1.204819,141.228750,,,,,,
96,prefixed,1000,0,"TOTAL_TAGS=1000,prefix_length=0",0.000000,True,True,formal_sgct_prefix_sweep,3388852287,3493778124,1631205.000000,30464.000000,725553.000000,3484,82632.613625,423.704500,83056.318125,1000,1000,1105,919,,,,,,,,,,,,,,,,,,,,4.041000,,613.043731,DQTA(k_max=3),0,18.000000,,,,,,,3024,0.330688,725.553000,30.464000,756017.000000,756.017000,1.088139,1631.205000,,,,,,
96,prefixed,1000,16,"TOTAL_TAGS=1000,prefix_length=16",0.000000,True,True,formal_sgct_prefix_sweep,3888939742,2345983813,1663787.500000,47064.000000,601606.000000,3526,83789.384500,394.931000,84184.315500,1000,1000,1093,955,,,,,,,,,,,,,,,,,,,,4.081000,,601.038294,DQTA(k_max=3),0,20.000000,,,,,,,3048,0.328084,601.606000,47.064000,648670.000000,648.670000,1.047120,1663.787500,,,,,,
96,prefixed,1000,32,"TOTAL_TAGS=1000,prefix_length=32",0.000000,True,True,formal_sgct_prefix_sweep,1469225317,4125370561,1581252.500000,58443.000000,465495.000000,3336,78568.466750,349.633500,78918.100250,1000,1000,990,897,,,,,,,,,,,,,,,,,,,,4.027000,,632.410067,DQTA(k_max=3),0,21.000000,,,,,,,2887,0.346380,465.495000,58.443000,523938.000000,523.938000,1.114827,1581.252500,,,,,,
96,prefixed,1000,48,"TOTAL_TAGS=1000,prefix_length=48",0.000000,True,True,formal_sgct_prefix_sweep,4030074574,3338862787,1567597.500000,72481.000000,337641.000000,3366,79426.365875,313.782500,79740.148375,1000,1000,1026,893,,,,,,,,,,,,,,,,,,,,4.041000,,637.918854,DQTA(k_max=3),0,20.000000,,,,,,,2919,0.342583,337.641000,72.481000,410122.000000,410.122000,1.119821,1567.597500,,,,,,
96,prefixed,1000,64,"TOTAL_TAGS=1000,prefix_length=64",0.000000,True,True,formal_sgct_prefix_sweep,607357217,257305857,1540201.250000,85569.000000,206792.000000,3348,76340.757375,274.534000,76615.291375,1000,1000,1026,881,,,,,,,,,,,,,,,,,,,,4.002000,,649.265802,DQTA(k_max=3),0,18.000000,,,,,,,2907,0.343997,206.792000,85.569000,292361.000000,292.361000,1.135074,1540.201250,,,,,,
96,prefixed,1000,72,"TOTAL_TAGS=1000,prefix_length=72",0.000000,True,True,formal_sgct_prefix_sweep,659529020,1813595682,1588117.500000,96746.000000,143921.000000,3354,79228.789875,265.452500,79494.242375,1000,1000,975,919,,,,,,,,,,,,,,,,,,,,4.051000,,629.676331,DQTA(k_max=3),0,19.000000,,,,,,,2894,0.345543,143.921000,96.746000,240667.000000,240.667000,1.088139,1588.117500,,,,,,
96,prefixed,1000,80,"TOTAL_TAGS=1000,prefix_length=80",0.000000,True,True,formal_sgct_prefix_sweep,1176693179,3114292933,1537283.750000,100270.000000,79001.000000,3355,77921.734875,240.040500,78161.775375,1000,1000,1024,887,,,,,,,,,,,,,,,,,,,,4.007000,,650.497997,DQTA(k_max=3),0,18.000000,,,,,,,2911,0.343525,79.001000,100.270000,179271.000000,179.271000,1.127396,1537.283750,,,,,,
96,prefixed,10000,0,"TOTAL_TAGS=10000,prefix_length=0",0.000000,True,True,formal_sgct_prefix_sweep,2684903735,404405201,16443982.500000,340085.000000,9113714.000000,34990,8234165.704250,5237.027000,8239402.731250,10000,10000,10978,9341,,,,,,,,,,,,,,,,,,,,5.170800,,608.125191,DQTA(k_max=3),0,30.000000,,,,,,,30319,0.329826,911.371400,34.008500,9453799.000000,945.379900,1.070549,16443.982500,,,,,,
96,prefixed,10000,16,"TOTAL_TAGS=10000,prefix_length=16",0.000000,True,True,formal_sgct_prefix_sweep,1113830343,4104151579,16278680.000000,484580.000000,7441819.000000,34808,8133436.307625,4690.069500,8138126.377125,10000,10000,10919,9259,,,,,,,,,,,,,,,,,,,,5.156800,,614.300422,DQTA(k_max=3),0,28.000000,,,,,,,30178,0.331367,744.181900,48.458000,7926399.000000,792.639900,1.080030,16278.680000,,,,,,
96,prefixed,10000,32,"TOTAL_TAGS=10000,prefix_length=32",0.000000,True,True,formal_sgct_prefix_sweep,282422184,3064538572,16090116.250000,626418.000000,5787979.000000,34768,8077669.114750,4146.825500,8081815.940250,10000,10000,11023,9163,,,,,,,,,,,,,,,,,,,,5.154000,,621.499549,DQTA(k_max=3),0,27.000000,,,,,,,30186,0.331279,578.797900,62.641800,6414397.000000,641.439700,1.091346,16090.116250,,,,,,
96,prefixed,10000,48,"TOTAL_TAGS=10000,prefix_length=48",0.000000,True,True,formal_sgct_prefix_sweep,233321412,1767541820,16086810.000000,778076.000000,4143908.000000,34840,8066181.491125,3628.106000,8069809.597125,10000,10000,11005,9223,,,,,,,,,,,,,,,,,,,,5.161400,,621.627283,DQTA(k_max=3),0,28.000000,,,,,,,30228,0.330819,414.390800,77.807600,4921984.000000,492.198400,1.084246,16086.810000,,,,,,
96,prefixed,10000,64,"TOTAL_TAGS=10000,prefix_length=64",0.000000,True,True,formal_sgct_prefix_sweep,2255368545,2622204177,15985656.250000,924027.000000,2488101.000000,34840,7997581.222000,3092.104500,8000673.326500,10000,10000,11032,9205,,,,,,,,,,,,,,,,,,,,5.151400,,625.560805,DQTA(k_max=3),0,27.000000,,,,,,,30237,0.330721,248.810100,92.402700,3412128.000000,341.212800,1.086366,15985.656250,,,,,,
96,prefixed,10000,72,"TOTAL_TAGS=10000,prefix_length=72",0.000000,True,True,formal_sgct_prefix_sweep,1012021564,497738346,15896327.500000,994703.000000,1665111.000000,34677,7958464.200000,2821.961500,7961286.161500,10000,10000,10911,9177,,,,,,,,,,,,,,,,,,,,5.157600,,629.076118,DQTA(k_max=3),0,27.000000,,,,,,,30088,0.332358,166.511100,99.470300,2659814.000000,265.981400,1.089681,15896.327500,,,,,,
96,prefixed,10000,80,"TOTAL_TAGS=10000,prefix_length=80",0.000000,True,True,formal_sgct_prefix_sweep,2850713332,247091435,14869316.250000,999541.000000,848306.000000,31727,7418503.025375,2423.235000,7420926.260375,10000,10000,8777,8633,,,,,,,,,,,,,,,,,,,,5.073000,,672.525880,DQTA(k_max=3),0,28.000000,,,,,,,27410,0.364830,84.830600,99.954100,1847847.000000,184.784700,1.158346,14869.316250,,,,,,
96,prefixed,100,0,"TOTAL_TAGS=100,prefix_length=0",0.000000,True,True,formal_sgct_prefix_sweep,3213019184,1481266772,166881.250000,2878.000000,53885.000000,354,884.200250,32.698500,916.898750,100,100,111,95,,,,,,,,,,,,,,,,,,,,2.950000,,599.228493,DQTA(k_max=3),1,9.000000,,,,,,,306,0.326797,538.850000,28.780000,56763.000000,567.630000,1.052632,166.881250,,,,,,
96,prefixed,100,16,"TOTAL_TAGS=100,prefix_length=16",0.000000,True,True,formal_sgct_prefix_sweep,655101377,1646151744,157665.000000,4048.000000,43844.000000,342,807.985750,30.018000,838.003750,100,100,111,87,,,,,,,,,,,,,,,,,,,,2.910000,,634.256176,DQTA(k_max=3),1,10.000000,,,,,,,298,0.335570,438.440000,40.480000,47892.000000,478.920000,1.149425,157.665000,,,,,,
