scenario_point,SGCT
"TOTAL_TAGS=100,prefix_length=0",14.9600
"TOTAL_TAGS=100,prefix_length=16",14.6000
"TOTAL_TAGS=100,prefix_length=32",15.0200
"TOTAL_TAGS=100,prefix_length=48",15.3800
"TOTAL_TAGS=100,prefix_length=64",1.0000
"TOTAL_TAGS=100,prefix_length=72",1.3600
"TOTAL_TAGS=100,prefix_length=80",1.3800
"TOTAL_TAGS=100,prefix_length=88",0.0000
"TOTAL_TAGS=1000,prefix_length=0",236.4800
"TOTAL_TAGS=1000,prefix_length=16",235.5000
"TOTAL_TAGS=1000,prefix_length=32",235.9200
"TOTAL_TAGS=1000,prefix_length=48",235.0200
"TOTAL_TAGS=1000,prefix_length=64",105.0000
"TOTAL_TAGS=1000,prefix_length=72",105.2200
"TOTAL_TAGS=1000,prefix_length=80",97.6400
"TOTAL_TAGS=10000,prefix_length=0",944.7000
"TOTAL_TAGS=10000,prefix_length=16",944.6600
"TOTAL_TAGS=10000,prefix_length=32",944.3800
"TOTAL_TAGS=10000,prefix_length=48",940.2400
"TOTAL_TAGS=10000,prefix_length=64",953.3600
"TOTAL_TAGS=10000,prefix_length=72",951.7800
"TOTAL_TAGS=10000,prefix_length=80",256.0000
