scenario_point,SGCT
"TOTAL_TAGS=100,prefix_length=0",15.9600
"TOTAL_TAGS=100,prefix_length=16",15.6000
"TOTAL_TAGS=100,prefix_length=32",16.0200
"TOTAL_TAGS=100,prefix_length=48",16.3800
"TOTAL_TAGS=100,prefix_length=64",2.0000
"TOTAL_TAGS=100,prefix_length=72",2.2800
"TOTAL_TAGS=100,prefix_length=80",1.0800
"TOTAL_TAGS=100,prefix_length=88",1.0000
"TOTAL_TAGS=1000,prefix_length=0",237.4800
"TOTAL_TAGS=1000,prefix_length=16",236.5000
"TOTAL_TAGS=1000,prefix_length=32",236.9200
"TOTAL_TAGS=1000,prefix_length=48",236.0200
"TOTAL_TAGS=1000,prefix_length=64",105.8600
"TOTAL_TAGS=1000,prefix_length=72",99.3600
"TOTAL_TAGS=1000,prefix_length=80",9.4000
"TOTAL_TAGS=10000,prefix_length=0",945.7000
"TOTAL_TAGS=10000,prefix_length=16",945.6600
"TOTAL_TAGS=10000,prefix_length=32",945.3800
"TOTAL_TAGS=10000,prefix_length=48",941.2400
"TOTAL_TAGS=10000,prefix_length=64",947.2200
"TOTAL_TAGS=10000,prefix_length=72",712.1800
"TOTAL_TAGS=10000,prefix_length=80",257.0000
