scenario_point,SGCT
"TOTAL_TAGS=100,prefix_length=0",380.4000
"TOTAL_TAGS=100,prefix_length=16",375.0000
"TOTAL_TAGS=100,prefix_length=32",381.3000
"TOTAL_TAGS=100,prefix_length=48",386.7000
"TOTAL_TAGS=100,prefix_length=64",4011.0000
"TOTAL_TAGS=100,prefix_length=72",4015.2800
"TOTAL_TAGS=100,prefix_length=80",3998.5000
"TOTAL_TAGS=100,prefix_length=88",156.0000
"TOTAL_TAGS=1000,prefix_length=0",58296.0000
"TOTAL_TAGS=1000,prefix_length=16",58103.7000
"TOTAL_TAGS=1000,prefix_length=32",58258.8000
"TOTAL_TAGS=1000,prefix_length=48",57986.1000
"TOTAL_TAGS=1000,prefix_length=64",4669.0400
"TOTAL_TAGS=1000,prefix_length=72",4578.2600
"TOTAL_TAGS=1000,prefix_length=80",3315.6600
"TOTAL_TAGS=10000,prefix_length=0",65866.5000
"TOTAL_TAGS=10000,prefix_length=16",65865.9000
"TOTAL_TAGS=10000,prefix_length=32",65861.7000
"TOTAL_TAGS=10000,prefix_length=48",65799.6000
"TOTAL_TAGS=10000,prefix_length=64",65896.4400
"TOTAL_TAGS=10000,prefix_length=72",62605.0400
"TOTAL_TAGS=10000,prefix_length=80",55536.0000
