scenario_point,SGCT
"TOTAL_TAGS=100,prefix_length=0",132.0200
"TOTAL_TAGS=100,prefix_length=16",131.2600
"TOTAL_TAGS=100,prefix_length=32",131.7800
"TOTAL_TAGS=100,prefix_length=48",132.6200
"TOTAL_TAGS=100,prefix_length=64",102.0000
"TOTAL_TAGS=100,prefix_length=72",102.5600
"TOTAL_TAGS=100,prefix_length=80",100.1600
"TOTAL_TAGS=100,prefix_length=88",100.0000
"TOTAL_TAGS=1000,prefix_length=0",1990.5400
"TOTAL_TAGS=1000,prefix_length=16",1989.8600
"TOTAL_TAGS=1000,prefix_length=32",1989.7800
"TOTAL_TAGS=1000,prefix_length=48",1989.1400
"TOTAL_TAGS=1000,prefix_length=64",1218.3200
"TOTAL_TAGS=1000,prefix_length=72",1205.5800
"TOTAL_TAGS=1000,prefix_length=80",1019.6400
"TOTAL_TAGS=10000,prefix_length=0",21412.9200
"TOTAL_TAGS=10000,prefix_length=16",21412.2400
"TOTAL_TAGS=10000,prefix_length=32",21411.5400
"TOTAL_TAGS=10000,prefix_length=48",21405.0600
"TOTAL_TAGS=10000,prefix_length=64",21417.6800
"TOTAL_TAGS=10000,prefix_length=72",20944.9000
"TOTAL_TAGS=10000,prefix_length=80",20000.0000
