scenario_point,SGCT
"TOTAL_TAGS=100,prefix_length=0",100.0000
"TOTAL_TAGS=100,prefix_length=16",100.0000
"TOTAL_TAGS=100,prefix_length=32",100.0000
"TOTAL_TAGS=100,prefix_length=48",100.0000
"TOTAL_TAGS=100,prefix_length=64",100.0000
"TOTAL_TAGS=100,prefix_length=72",99.8400
"TOTAL_TAGS=100,prefix_length=80",97.4000
"TOTAL_TAGS=100,prefix_length=88",100.0000
"TOTAL_TAGS=1000,prefix_length=0",1000.0000
"TOTAL_TAGS=1000,prefix_length=16",1000.0000
"TOTAL_TAGS=1000,prefix_length=32",1000.0000
"TOTAL_TAGS=1000,prefix_length=48",1000.0000
"TOTAL_TAGS=1000,prefix_length=64",999.7200
"TOTAL_TAGS=1000,prefix_length=72",986.2800
"TOTAL_TAGS=1000,prefix_length=80",817.1000
"TOTAL_TAGS=10000,prefix_length=0",10000.0000
"TOTAL_TAGS=10000,prefix_length=16",10000.0000
"TOTAL_TAGS=10000,prefix_length=32",10000.0000
"TOTAL_TAGS=10000,prefix_length=48",10000.0000
"TOTAL_TAGS=10000,prefix_length=64",9985.7200
"TOTAL_TAGS=10000,prefix_length=72",9518.0600
"TOTAL_TAGS=10000,prefix_length=80",10000.0000
