scenario_point,SGCT
"TOTAL_TAGS=100,prefix_length=0",114.9600
"TOTAL_TAGS=100,prefix_length=16",114.6000
"TOTAL_TAGS=100,prefix_length=32",115.0200
"TOTAL_TAGS=100,prefix_length=48",115.3800
"TOTAL_TAGS=100,prefix_length=64",101.0000
"TOTAL_TAGS=100,prefix_length=72",101.2000
"TOTAL_TAGS=100,prefix_length=80",98.7800
"TOTAL_TAGS=100,prefix_length=88",100.0000
"TOTAL_TAGS=1000,prefix_length=0",1236.4800
"TOTAL_TAGS=1000,prefix_length=16",1235.5000
"TOTAL_TAGS=1000,prefix_length=32",1235.9200
"TOTAL_TAGS=1000,prefix_length=48",1235.0200
"TOTAL_TAGS=1000,prefix_length=64",1104.7200
"TOTAL_TAGS=1000,prefix_length=72",1091.5000
"TOTAL_TAGS=1000,prefix_length=80",914.7400
"TOTAL_TAGS=10000,prefix_length=0",10944.7000
"TOTAL_TAGS=10000,prefix_length=16",10944.6600
"TOTAL_TAGS=10000,prefix_length=32",10944.3800
"TOTAL_TAGS=10000,prefix_length=48",10940.2400
"TOTAL_TAGS=10000,prefix_length=64",10939.0800
"TOTAL_TAGS=10000,prefix_length=72",10469.8400
"TOTAL_TAGS=10000,prefix_length=80",10256.0000
