scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),total_protocol_time_ms,162.020100,5.697607,171.105250,1.579296,50
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),throughput_tags_per_sec,617.956091,21.742454,652.947891,6.026701,50
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),system_efficiency,0.339676,0.017298,0.367647,0.004795,50
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),collision_slots,90.680000,5.381146,99.200000,1.491578,50
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),idle_slots,104.480000,13.431975,124.750000,3.723154,50
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),total_energy_uj,889.735550,34.212751,940.329313,9.483291,50
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),total_listening_energy_uj,857.415680,33.531051,906.763862,9.294333,50
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),total_transmission_energy_uj,32.319870,0.817361,33.637925,0.226561,50
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),total_bits,56433.060000,1168.200961,58331.950000,323.808786,50
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),avg_tag_bits,536.975000,10.237778,553.486000,2.837767,50
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),avg_reader_bits,27.355600,1.727002,30.002000,0.478700,50
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),avg_total_bits,564.330600,11.682010,583.319500,3.238088,50
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),avg_query_efficiency,1.106614,0.066074,1.221181,0.018315,50
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),peak_stack_depth,11.580000,1.179588,13.550000,0.326965,50
"TOTAL_TAGS=100,prefix_length=0",DQTA(k_max=3),avg_tag_responses,2.938400,0.058706,3.031000,0.016272,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,total_protocol_time_ms,142.476025,6.309585,152.612750,1.748928,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,throughput_tags_per_sec,703.184698,30.303107,739.905680,8.399593,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,system_efficiency,0.349647,0.024688,0.377506,0.006843,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,collision_slots,142.720000,10.456987,159.100000,2.898529,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,idle_slots,44.720000,10.456987,61.100000,2.898529,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,total_energy_uj,740.936858,40.524285,815.105119,11.232759,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,energy_per_tag_uj,7.409369,0.405243,8.151051,0.112328,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,total_reader_tx_energy_uj,9.402800,0.738300,10.596300,0.204646,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,total_tag_tx_energy_uj,6.385510,0.161226,6.603975,0.044690,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,total_listening_energy_uj,725.148547,39.821840,798.075869,11.038051,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,total_transmission_energy_uj,15.788310,0.786077,17.097300,0.217890,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,total_bits,17472.420000,535.802130,18424.000000,148.516773,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,avg_tag_bits,127.710200,3.224520,132.079500,0.893791,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,avg_reader_bits,47.014000,3.691499,52.981500,1.023231,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,avg_total_bits,174.724200,5.358021,184.240000,1.485168,50
"TOTAL_TAGS=100,prefix_length=0",DRCT,avg_query_efficiency,0.704243,0.050071,0.760756,0.013879,50
