scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",0.3397,0.3496,0.5468,0.6186,0.1745,0.4787,0.3548,0.7647
"TOTAL_TAGS=100,prefix_length=16",0.3449,0.3157,0.5440,0.6198,0.1722,0.4791,0.3550,0.7691
"TOTAL_TAGS=100,prefix_length=32",0.3497,0.2875,0.5418,0.6048,0.1782,0.4786,0.3548,0.7640
"TOTAL_TAGS=100,prefix_length=48",0.3437,0.2597,0.5499,0.6011,0.1782,0.4788,0.3515,0.7598
"TOTAL_TAGS=100,prefix_length=64",0.3406,0.2413,0.5467,0.6033,0.1778,0.4790,0.3548,0.9807
"TOTAL_TAGS=100,prefix_length=72",0.3402,0.2307,0.5435,0.5967,0.1800,0.4787,0.3531,0.9740
"TOTAL_TAGS=100,prefix_length=80",0.3437,0.2269,0.5486,0.6116,0.1752,0.4787,0.3523,0.9735
"TOTAL_TAGS=100,prefix_length=88",0.4723,0.2503,0.5532,0.5998,0.1847,0.4787,0.3935,1.0000
"TOTAL_TAGS=1000,prefix_length=0",0.3335,0.3472,0.5469,0.5688,0.2112,0.4901,0.3532,0.6731
"TOTAL_TAGS=1000,prefix_length=16",0.3342,0.3450,0.5458,0.5727,0.2137,0.4902,0.3538,0.6742
"TOTAL_TAGS=1000,prefix_length=32",0.3357,0.3404,0.5449,0.5609,0.2128,0.4901,0.3553,0.6735
"TOTAL_TAGS=1000,prefix_length=48",0.3345,0.3358,0.5460,0.5756,0.2144,0.4901,0.3548,0.6743
"TOTAL_TAGS=1000,prefix_length=64",0.3350,0.3312,0.5469,0.5663,0.2135,0.4901,0.3545,0.8264
"TOTAL_TAGS=1000,prefix_length=72",0.3346,0.3300,0.5470,0.5631,0.2131,0.4901,0.3548,0.8263
"TOTAL_TAGS=1000,prefix_length=80",0.3386,0.3380,0.5471,0.5686,0.2138,0.4901,0.3598,0.8368
"TOTAL_TAGS=10000,prefix_length=0",0.3304,0.3462,0.5463,0.5016,0.0617,0.4990,0.3545,0.8408
"TOTAL_TAGS=10000,prefix_length=16",0.3308,0.3462,0.5459,0.4998,0.0616,0.4990,0.3545,0.8409
"TOTAL_TAGS=10000,prefix_length=32",0.3307,0.3462,0.5466,0.5018,0.0614,0.4990,0.3544,0.8409
"TOTAL_TAGS=10000,prefix_length=48",0.3309,0.3451,0.5458,0.5031,0.0618,0.4990,0.3545,0.8415
"TOTAL_TAGS=10000,prefix_length=64",0.3307,0.3449,0.5460,0.5014,0.0618,0.4990,0.3541,0.8398
"TOTAL_TAGS=10000,prefix_length=72",0.3305,0.3458,0.5462,0.5006,0.0615,0.4990,0.3545,0.8400
"TOTAL_TAGS=10000,prefix_length=80",0.3677,0.3983,0.5460,0.5022,0.0620,0.4990,0.3781,0.9512
