scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",617.9561,703.1847,447.2108,772.3478,371.8812,393.5489,564.2045,813.1148
"TOTAL_TAGS=100,prefix_length=16",622.8346,578.9948,422.0814,774.5203,368.2976,382.5638,625.0324,843.5673
"TOTAL_TAGS=100,prefix_length=32",635.6265,489.1497,399.5457,761.5387,377.2598,371.7199,700.0106,864.0058
"TOTAL_TAGS=100,prefix_length=48",630.0781,413.0842,385.2167,758.9759,376.5800,361.8958,786.8061,884.1181
"TOTAL_TAGS=100,prefix_length=64",636.8511,357.9774,365.8276,760.0330,376.3227,352.6376,916.1678,1151.9022
"TOTAL_TAGS=100,prefix_length=72",630.7852,331.1366,355.7110,753.6398,379.5983,347.8282,989.2213,1202.7010
"TOTAL_TAGS=100,prefix_length=80",633.7661,316.5015,351.1362,767.0340,372.7123,343.4355,1077.8277,1303.8963
"TOTAL_TAGS=100,prefix_length=88",722.2822,345.0240,346.8496,756.5461,386.4620,339.4633,1372.9936,2243.6617
"TOTAL_TAGS=1000,prefix_length=0",611.3570,676.4643,447.3790,751.9809,381.3515,389.1461,551.3736,570.1335
"TOTAL_TAGS=1000,prefix_length=16",613.2260,592.9641,423.1321,755.5544,384.6439,376.0330,610.1015,572.2765
"TOTAL_TAGS=1000,prefix_length=32",619.9196,526.1725,401.3570,746.5576,383.2706,363.8092,684.5244,572.3234
"TOTAL_TAGS=1000,prefix_length=48",620.4944,474.2657,382.8312,756.9997,385.3549,352.3281,775.0085,574.8250
"TOTAL_TAGS=1000,prefix_length=64",621.6029,428.9370,365.9612,750.4063,384.0654,341.5392,892.6465,1074.9432
"TOTAL_TAGS=1000,prefix_length=72",623.9167,411.2214,357.9037,746.8890,383.7022,336.3909,968.0764,1125.9152
"TOTAL_TAGS=1000,prefix_length=80",631.7603,405.7649,350.2024,752.1294,384.5018,331.4197,1069.1306,1433.7393
"TOTAL_TAGS=10000,prefix_length=0",610.4845,656.1135,447.0391,730.6855,125.8178,385.9453,542.4639,889.2898
"TOTAL_TAGS=10000,prefix_length=16",613.6303,578.7191,423.2607,729.0543,125.7691,371.7541,598.2509,941.3182
"TOTAL_TAGS=10000,prefix_length=32",616.0500,519.7413,402.4201,730.3538,125.3694,358.5661,666.7757,999.9038
"TOTAL_TAGS=10000,prefix_length=48",619.4666,471.6490,382.7623,732.2746,126.0200,346.2808,753.7378,1067.5980
"TOTAL_TAGS=10000,prefix_length=64",621.6011,432.0716,365.3931,730.3305,126.0926,334.8077,865.0103,1140.2116
"TOTAL_TAGS=10000,prefix_length=72",622.6093,416.2474,357.4072,729.2613,125.4490,329.3572,935.4369,1240.6429
"TOTAL_TAGS=10000,prefix_length=80",676.5860,459.0542,349.5127,731.1534,126.5078,324.2617,1088.7689,1821.2490
