scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",56433.0600,17472.4200,28683.6000,15687.3600,24370.4800,60092.4800,25659.0800,15606.8400
"TOTAL_TAGS=100,prefix_length=16",48349.5400,25320.0800,27924.7000,15589.4400,24557.6000,53581.0800,22464.6800,14456.3000
"TOTAL_TAGS=100,prefix_length=32",40157.8000,33053.6000,27092.5200,15724.3200,24126.0800,47112.3600,19276.0800,13434.3800
"TOTAL_TAGS=100,prefix_length=48",32526.2000,41358.5200,25861.1600,15735.0800,24244.7600,40524.7800,16159.9200,12429.1400
"TOTAL_TAGS=100,prefix_length=64",24510.0600,49621.8800,25121.6600,15725.0800,24231.4400,34017.4600,12925.2000,5941.8800
"TOTAL_TAGS=100,prefix_length=72",20741.6800,54028.4200,24748.9000,15680.9200,24039.4400,30775.1600,11365.0800,5245.8000
"TOTAL_TAGS=100,prefix_length=80",16762.0400,57817.3400,24104.2800,15658.7600,24329.1200,27490.1600,9787.6400,4320.3000
"TOTAL_TAGS=100,prefix_length=88",11790.2800,58282.7400,23439.0600,15631.8400,23770.8800,24271.2600,7048.8000,3271.0000
"TOTAL_TAGS=1000,prefix_length=0",758167.3400,191192.6000,286585.9000,167499.0800,256770.0800,809269.4800,265911.5600,182335.1200
"TOTAL_TAGS=1000,prefix_length=16",643837.1200,261880.0800,278246.3400,167770.4400,255076.5600,707747.1400,233841.0800,173914.1800
"TOTAL_TAGS=1000,prefix_length=32",527353.3600,333753.7600,269570.6600,167032.9200,255857.2000,605464.1000,201556.1600,165831.3400
"TOTAL_TAGS=1000,prefix_length=48",413486.1400,404973.2400,259909.3000,168041.2000,254822.1600,503937.7600,169647.7600,157386.0800
"TOTAL_TAGS=1000,prefix_length=64",299074.0400,477464.9200,250611.9400,167371.8400,255505.4000,402343.5000,137776.0800,83357.1800
"TOTAL_TAGS=1000,prefix_length=72",241436.2000,512895.2000,245961.5600,167540.2400,255621.0800,351522.3400,121696.2800,75294.0600
"TOTAL_TAGS=1000,prefix_length=80",182895.7800,542964.9200,241528.5400,167462.6400,255247.3600,300717.0800,104497.1600,55853.6400
"TOTAL_TAGS=10000,prefix_length=0",9442935.2200,2056271.9600,2869140.9200,1720646.4800,7029982.1200,10924676.4000,2747124.6000,1654196.3800
"TOTAL_TAGS=10000,prefix_length=16",7935991.3400,2768192.0000,2779986.3000,1720329.6000,7031790.1200,9386427.3000,2427258.7600,1524448.7000
"TOTAL_TAGS=10000,prefix_length=32",6432846.2400,3474734.6200,2687445.8400,1722585.3600,7053466.3600,7846318.1600,2107457.1200,1394666.2800
"TOTAL_TAGS=10000,prefix_length=48",4927169.7400,4179590.7600,2600874.3800,1721826.3600,7019690.5600,6308181.6400,1787085.7200,1263974.8000
"TOTAL_TAGS=10000,prefix_length=64",3424859.3800,4883715.2400,2509719.2200,1720669.6800,7016024.9600,4768484.4000,1468118.6800,1135305.9200
"TOTAL_TAGS=10000,prefix_length=72",2673497.3600,5228514.4400,2463662.1400,1720544.9200,7048644.7600,3998685.1200,1307322.2000,1032841.4600
"TOTAL_TAGS=10000,prefix_length=80",1841724.8800,5322383.4600,2419416.6400,1721150.3600,6994250.3200,3231316.8600,1079854.7600,713225.0000
