scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",889.7355,740.9369,1158.3710,667.3193,1242.1721,1358.5683,929.9505,575.1722
"TOTAL_TAGS=100,prefix_length=16",878.3820,966.5420,1228.0169,659.9780,1229.1088,1392.7441,838.9377,537.6156
"TOTAL_TAGS=100,prefix_length=32",855.6170,1201.7902,1300.2693,671.5625,1216.1614,1429.8153,753.7297,505.7561
"TOTAL_TAGS=100,prefix_length=48",862.0070,1470.2507,1351.1029,676.3641,1226.1877,1464.2650,669.8638,473.6693
"TOTAL_TAGS=100,prefix_length=64",850.0492,1773.1889,1423.3884,671.7286,1242.2941,1498.5541,575.8663,563.4662
"TOTAL_TAGS=100,prefix_length=72",849.3915,1959.7327,1465.3678,680.9164,1237.6618,1517.5953,534.7184,540.3721
"TOTAL_TAGS=100,prefix_length=80",843.1631,2086.8970,1484.3987,670.4985,1243.5207,1535.3266,494.7425,515.5664
"TOTAL_TAGS=100,prefix_length=88",745.5602,2020.8835,1503.9430,681.9076,1219.8505,1550.2389,388.5512,245.1045
"TOTAL_TAGS=1000,prefix_length=0",83125.7619,74392.0679,112111.4226,66568.9229,148787.1926,129697.1237,91256.3812,89463.1222
"TOTAL_TAGS=1000,prefix_length=16",82916.6421,85430.9288,118646.8042,66300.6595,147956.8244,134147.5918,82423.2009,88881.3774
"TOTAL_TAGS=1000,prefix_length=32",81735.1673,96813.6362,125093.1549,67290.5408,148698.6963,138573.7983,73563.9807,88944.3467
"TOTAL_TAGS=1000,prefix_length=48",81573.7300,108415.4977,131116.7325,66218.2850,148268.9945,143023.6394,64914.1512,88407.5714
"TOTAL_TAGS=1000,prefix_length=64",81132.5124,120364.8872,137031.9891,66636.8665,148177.3549,147463.8564,56347.9421,35648.9476
"TOTAL_TAGS=1000,prefix_length=72",81045.5978,126187.1997,140172.6561,67250.0361,148401.6725,149693.0270,51944.0303,33261.4513
"TOTAL_TAGS=1000,prefix_length=80",80100.9102,128480.0363,143408.9590,66667.2725,148282.5423,151913.9338,47127.2467,28934.9636
"TOTAL_TAGS=10000,prefix_length=0",8212887.8606,7632507.9942,11191949.6685,6841738.1618,46815207.9582,12970574.6879,9222456.9151,5649335.4161
"TOTAL_TAGS=10000,prefix_length=16",8167052.0203,8660400.5013,11814270.5766,6862500.4218,46764486.0708,13464561.6649,8363281.0779,5338987.0910
"TOTAL_TAGS=10000,prefix_length=32",8134572.3777,9642369.0890,12427998.0109,6851457.0867,46936323.3943,13958873.2186,7504192.1377,5023979.2993
"TOTAL_TAGS=10000,prefix_length=48",8086943.7128,10636592.1607,13068634.6951,6828527.4960,46677419.8120,14453056.6935,6640121.0585,4706406.2074
"TOTAL_TAGS=10000,prefix_length=64",8054703.1739,11610975.8119,13696123.8294,6850571.5827,46687497.7534,14947485.9601,5786063.9278,4405052.5585
"TOTAL_TAGS=10000,prefix_length=72",8047186.3110,12066572.7536,13998612.4366,6857865.8260,46914679.9733,15194379.6068,5346469.2039,4061303.5820
"TOTAL_TAGS=10000,prefix_length=80",7404013.8900,10946867.7224,14313178.0486,6843842.8149,46453206.4362,15432621.9710,4595816.2613,2775151.4403
