scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",857.4157,725.1485,1122.0965,655.1408,1210.7241,1307.1222,909.0013,561.6895
"TOTAL_TAGS=100,prefix_length=16",847.9225,942.2788,1190.0610,647.9012,1197.3020,1342.4286,819.5738,524.0100
"TOTAL_TAGS=100,prefix_length=32",827.2284,1168.8599,1260.6409,659.3100,1185.2435,1380.5750,735.9423,491.8073
"TOTAL_TAGS=100,prefix_length=48",835.0770,1427.7885,1310.3814,664.0910,1195.0646,1416.1907,653.5185,459.3485
"TOTAL_TAGS=100,prefix_length=64",825.0714,1721.1140,1380.9125,659.4750,1211.1137,1451.6153,561.1843,556.5806
"TOTAL_TAGS=100,prefix_length=72",824.9887,1902.3107,1421.9177,668.7008,1206.9311,1471.1838,520.7614,533.6755
"TOTAL_TAGS=100,prefix_length=80",819.6456,2025.3637,1440.5498,658.3297,1212.1924,1489.4903,481.5418,509.4860
"TOTAL_TAGS=100,prefix_length=88",725.2093,1961.5521,1459.7333,669.7436,1189.6645,1505.0198,378.0533,239.9125
"TOTAL_TAGS=1000,prefix_length=0",82700.6429,74217.4146,111748.9239,66443.1769,148502.4219,129070.8566,91033.2857,89293.4913
"TOTAL_TAGS=1000,prefix_length=16",82526.2827,85183.2438,118268.2713,66174.7039,147674.7683,133549.0938,82216.2366,88704.5489
"TOTAL_TAGS=1000,prefix_length=32",81381.6157,96492.2341,124698.6834,67165.1929,148415.5713,138003.5080,73373.5402,88759.7290
"TOTAL_TAGS=1000,prefix_length=48",81254.4436,108021.2972,130707.4969,66092.0231,147987.5302,142481.1196,64739.5452,88215.8184
"TOTAL_TAGS=1000,prefix_length=64",80847.7147,119895.5995,136607.9111,66511.2046,147894.8395,146949.1350,56189.0935,35536.9834
"TOTAL_TAGS=1000,prefix_length=72",80778.7674,125681.9606,139741.0277,67124.0749,148118.8378,149192.2219,51793.3297,33152.0192
"TOTAL_TAGS=1000,prefix_length=80",79853.9416,127949.2576,142969.6786,66541.5955,148000.3783,151427.1029,46986.6550,28849.5713
"TOTAL_TAGS=10000,prefix_length=0",8207659.9372,7630606.3251,11188322.0034,6840512.0573,46806338.9818,12962831.3998,9220099.4716,5648011.2094
"TOTAL_TAGS=10000,prefix_length=16",8162355.5690,8657772.8511,11810487.2400,6861274.1841,46755614.2949,13457348.5914,8361083.3478,5337682.3066
"TOTAL_TAGS=10000,prefix_length=32",8130404.2428,9639027.8269,12424063.5250,6850228.5608,46927421.9479,13952191.2259,7502154.0279,5022694.0573
"TOTAL_TAGS=10000,prefix_length=48",8083307.2919,10632538.1291,13064541.2371,6827300.4459,46668564.6742,14446904.7831,6638243.6709,4705142.1813
"TOTAL_TAGS=10000,prefix_length=64",8051593.6021,11606211.3962,13691876.9301,6849345.3003,46678647.8012,14941864.8664,5784344.6303,4403804.3708
"TOTAL_TAGS=10000,prefix_length=72",8044340.1499,12061467.0411,13994290.0770,6856639.3876,46905785.7926,15189024.0107,5344831.3479,4060122.5038
"TOTAL_TAGS=10000,prefix_length=80",7401602.6982,10941902.2011,14308777.1372,6842616.2374,46444386.7133,15427534.8222,4594374.0617,2774354.9903
