scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",162.0201,142.4760,223.7374,130.0620,271.4703,254.0999,177.3591,123.1350
"TOTAL_TAGS=100,prefix_length=16",160.7576,173.0252,237.0474,129.7917,274.2606,261.3965,160.1199,118.7931
"TOTAL_TAGS=100,prefix_length=32",157.6616,204.8356,250.4526,131.7198,267.5052,269.0210,142.9583,116.0924
"TOTAL_TAGS=100,prefix_length=48",159.1666,242.4803,259.8458,132.0722,269.1578,276.3240,127.2002,113.5025
"TOTAL_TAGS=100,prefix_length=64",157.3272,280.1244,273.6272,131.9610,269.3925,283.5792,109.2326,86.9159
"TOTAL_TAGS=100,prefix_length=72",158.9408,302.6488,281.3806,133.2603,266.1033,287.4994,101.1788,83.3136
"TOTAL_TAGS=100,prefix_length=80",158.3979,316.5577,285.0766,131.0079,270.6426,291.1776,92.8368,76.7539
"TOTAL_TAGS=100,prefix_length=88",139.0430,289.9618,288.6357,132.9936,261.9432,294.5834,72.8552,44.5700
"TOTAL_TAGS=1000,prefix_length=0",1635.9419,1478.4032,2235.3535,1330.6270,2623.2462,2569.7292,1813.7965,1754.1127
"TOTAL_TAGS=1000,prefix_length=16",1630.9678,1686.8332,2363.4536,1324.2589,2600.7813,2659.3408,1639.1985,1747.5498
"TOTAL_TAGS=1000,prefix_length=32",1613.3556,1900.9253,2491.7265,1340.3936,2610.1827,2748.6935,1461.0230,1747.4527
"TOTAL_TAGS=1000,prefix_length=48",1611.9150,2109.1806,2612.3248,1322.5786,2596.4445,2838.2638,1290.4078,1740.0259
"TOTAL_TAGS=1000,prefix_length=64",1609.0733,2331.8657,2732.7020,1333.7274,2605.2776,2927.9220,1120.3518,931.0581
"TOTAL_TAGS=1000,prefix_length=72",1603.1664,2432.7049,2794.2439,1340.2658,2607.5114,2972.7328,1033.0620,889.1900
"TOTAL_TAGS=1000,prefix_length=80",1583.6292,2464.9611,2855.7594,1330.4823,2602.1796,3017.3226,935.4100,697.9409
"TOTAL_TAGS=10000,prefix_length=0",16380.7421,15241.6448,22369.4870,13686.4267,79511.6074,25910.4105,18434.5598,11245.0498
"TOTAL_TAGS=10000,prefix_length=16",16296.7899,17280.3353,23626.2669,13717.2589,79535.0758,26899.5025,16715.5493,10623.6004
"TOTAL_TAGS=10000,prefix_length=32",16232.7901,19240.8898,24849.8183,13692.7495,79796.0899,27888.8608,14997.7015,10001.3869
"TOTAL_TAGS=10000,prefix_length=48",16143.2656,21203.1109,26126.1157,13656.8738,79388.9808,28878.2937,13267.3311,9367.4062
"TOTAL_TAGS=10000,prefix_length=64",16087.8735,23145.2883,27368.0192,13693.5256,79343.9628,29867.8874,11560.6224,8770.7375
"TOTAL_TAGS=10000,prefix_length=72",16061.9805,24025.0927,27979.4687,13713.1772,79734.5497,30362.1739,10690.2656,8060.9171
"TOTAL_TAGS=10000,prefix_length=80",14780.5102,21784.4264,28611.5630,13677.7502,79079.5473,30839.2863,9184.7079,5490.7375
