scenario_point,DRCT
"TOTAL_TAGS=100,prefix_length=0",9.4028
"TOTAL_TAGS=100,prefix_length=16",15.4709
"TOTAL_TAGS=100,prefix_length=32",21.8714
"TOTAL_TAGS=100,prefix_length=48",29.0438
"TOTAL_TAGS=100,prefix_length=64",36.3520
"TOTAL_TAGS=100,prefix_length=72",40.5438
"TOTAL_TAGS=100,prefix_length=80",43.4995
"TOTAL_TAGS=100,prefix_length=88",40.2534
"TOTAL_TAGS=1000,prefix_length=0",105.4093
"TOTAL_TAGS=1000,prefix_length=16",155.6599
"TOTAL_TAGS=1000,prefix_length=32",206.0336
"TOTAL_TAGS=1000,prefix_length=48",255.6185
"TOTAL_TAGS=1000,prefix_length=64",307.4071
"TOTAL_TAGS=1000,prefix_length=72",331.7220
"TOTAL_TAGS=1000,prefix_length=80",345.7283
"TOTAL_TAGS=10000,prefix_length=0",1164.7108
"TOTAL_TAGS=10000,prefix_length=16",1658.0723
"TOTAL_TAGS=10000,prefix_length=32",2138.5264
"TOTAL_TAGS=10000,prefix_length=48",2618.9816
"TOTAL_TAGS=10000,prefix_length=64",3096.7441
"TOTAL_TAGS=10000,prefix_length=72",3321.9404
"TOTAL_TAGS=10000,prefix_length=80",3072.4395
