scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",341.0000,431.1600,184.1200,163.2200,583.7200,188.8800,172.4200,162.9000
"TOTAL_TAGS=100,prefix_length=16",336.7000,476.6400,185.0000,163.2400,591.7600,188.8200,172.2200,161.4400
"TOTAL_TAGS=100,prefix_length=32",331.4800,523.1400,185.7600,166.4800,571.3600,188.9600,172.0400,163.1400
"TOTAL_TAGS=100,prefix_length=48",337.6600,578.5800,183.0800,167.2400,575.7800,188.8600,173.6600,164.5400
"TOTAL_TAGS=100,prefix_length=64",339.9200,623.1000,184.1200,166.8400,577.7200,188.7600,172.4800,105.0000
"TOTAL_TAGS=100,prefix_length=72",340.8000,651.4800,185.1600,169.1200,567.0000,188.9000,173.2400,106.4400
"TOTAL_TAGS=100,prefix_length=80",338.1200,662.1000,183.4800,165.2200,580.7200,188.8800,173.5800,106.5200
"TOTAL_TAGS=100,prefix_length=88",253.4200,599.5200,181.9600,168.9600,554.5600,188.9000,154.1000,101.0000
"TOTAL_TAGS=1000,prefix_length=0",3462.5400,4321.2600,1829.5600,1761.3200,4738.9600,1957.7600,1727.6000,1960.7000
"TOTAL_TAGS=1000,prefix_length=16",3457.1400,4349.0400,1833.3200,1748.8200,4682.3600,1957.9200,1725.5000,1956.3400
"TOTAL_TAGS=1000,prefix_length=32",3440.1000,4407.9600,1836.5200,1786.2800,4702.9200,1957.6000,1718.9600,1958.7800
"TOTAL_TAGS=1000,prefix_length=48",3452.8800,4468.0200,1832.8000,1743.3600,4668.2800,1957.5200,1720.2400,1955.1200
"TOTAL_TAGS=1000,prefix_length=64",3450.4000,4529.6400,1829.7200,1770.1800,4689.7800,1957.6400,1722.8400,1421.2200
"TOTAL_TAGS=1000,prefix_length=72",3452.8600,4546.6800,1829.3200,1781.2600,4697.7000,1957.6800,1720.8600,1421.8800
"TOTAL_TAGS=1000,prefix_length=80",3412.9000,4438.5000,1829.0400,1762.3000,4683.0400,1957.8000,1699.8000,1391.5600
"TOTAL_TAGS=10000,prefix_length=0",34906.5600,43330.3200,18306.6400,19937.1400,162241.9800,19956.5600,17219.3000,13784.5200
"TOTAL_TAGS=10000,prefix_length=16",34864.2600,43327.6200,18318.0000,20010.4400,162299.4200,19956.6400,17221.9000,13784.0200
"TOTAL_TAGS=10000,prefix_length=32",34881.3200,43328.5800,18296.5600,19929.9600,162870.1000,19956.5600,17226.7600,13782.7200
"TOTAL_TAGS=10000,prefix_length=48",34855.6200,43463.3400,18321.3600,19879.0200,161978.5600,19956.6400,17216.3200,13766.1200
"TOTAL_TAGS=10000,prefix_length=64",34880.0000,43494.1200,18317.6400,19946.1600,161876.9600,19956.6000,17237.1600,13816.4400
"TOTAL_TAGS=10000,prefix_length=72",34901.6200,43384.8600,18309.1600,19977.7800,162722.9800,19956.5200,17224.1800,13810.1200
"TOTAL_TAGS=10000,prefix_length=80",31486.6400,37663.3800,18314.8000,19916.2800,161290.8400,19956.7600,16195.4600,11027.0000
