scenario_point,DRCT
"TOTAL_TAGS=100,prefix_length=0",6.3855
"TOTAL_TAGS=100,prefix_length=16",8.7923
"TOTAL_TAGS=100,prefix_length=32",11.0589
"TOTAL_TAGS=100,prefix_length=48",13.4183
"TOTAL_TAGS=100,prefix_length=64",15.7230
"TOTAL_TAGS=100,prefix_length=72",16.8783
"TOTAL_TAGS=100,prefix_length=80",18.0338
"TOTAL_TAGS=100,prefix_length=88",19.0780
"TOTAL_TAGS=1000,prefix_length=0",69.2440
"TOTAL_TAGS=1000,prefix_length=16",92.0251
"TOTAL_TAGS=1000,prefix_length=32",115.3685
"TOTAL_TAGS=1000,prefix_length=48",138.5820
"TOTAL_TAGS=1000,prefix_length=64",161.8807
"TOTAL_TAGS=1000,prefix_length=72",173.5171
"TOTAL_TAGS=1000,prefix_length=80",185.0504
"TOTAL_TAGS=10000,prefix_length=0",736.9583
"TOTAL_TAGS=10000,prefix_length=16",969.5779
"TOTAL_TAGS=10000,prefix_length=32",1202.7357
"TOTAL_TAGS=10000,prefix_length=48",1435.0500
"TOTAL_TAGS=10000,prefix_length=64",1667.6716
"TOTAL_TAGS=10000,prefix_length=72",1783.7721
"TOTAL_TAGS=10000,prefix_length=80",1893.0819
