scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"TOTAL_TAGS=100,prefix_length=0",32.3199,15.7883,36.2746,12.1786,31.4480,51.4461,20.9492,13.4828
"TOTAL_TAGS=100,prefix_length=16",30.4596,24.2632,37.9559,12.0768,31.8069,50.3155,19.3638,13.6056
"TOTAL_TAGS=100,prefix_length=32",28.3886,32.9303,39.6283,12.2525,30.9179,49.2403,17.7874,13.9488
"TOTAL_TAGS=100,prefix_length=48",26.9300,42.4621,40.7215,12.2730,31.1231,48.0742,16.3453,14.3208
"TOTAL_TAGS=100,prefix_length=64",24.9778,52.0749,42.4759,12.2535,31.1805,46.9388,14.6820,6.8856
"TOTAL_TAGS=100,prefix_length=72",24.4027,57.4220,43.4501,12.2156,30.7307,46.4116,13.9570,6.6966
"TOTAL_TAGS=100,prefix_length=80",23.5175,61.5333,43.8489,12.1689,31.3283,45.8364,13.2008,6.0804
"TOTAL_TAGS=100,prefix_length=88",20.3509,59.3314,44.2097,12.1640,30.1859,45.2191,10.4979,5.1920
"TOTAL_TAGS=1000,prefix_length=0",425.1190,174.6533,362.4987,125.7460,284.7707,626.2671,223.0955,169.6308
"TOTAL_TAGS=1000,prefix_length=16",390.3594,247.6849,378.5329,125.9556,282.0562,598.4979,206.9643,176.8285
"TOTAL_TAGS=1000,prefix_length=32",353.5516,321.4021,394.4715,125.3479,283.1250,570.2902,190.4405,184.6177
"TOTAL_TAGS=1000,prefix_length=48",319.2865,394.2005,409.2356,126.2619,281.4643,542.5198,174.6061,191.7530
"TOTAL_TAGS=1000,prefix_length=64",284.7977,469.2878,424.0779,125.6619,282.5154,514.7214,158.8487,111.9642
"TOTAL_TAGS=1000,prefix_length=72",266.8304,505.2391,431.6285,125.9613,282.8346,500.8050,150.7007,109.4321
"TOTAL_TAGS=1000,prefix_length=80",246.9686,530.7787,439.2804,125.6770,282.1640,486.8309,140.5917,85.3923
"TOTAL_TAGS=10000,prefix_length=0",5227.9234,1901.6690,3627.6651,1226.1045,8868.9764,7743.2881,2357.4435,1324.2067
"TOTAL_TAGS=10000,prefix_length=16",4696.4513,2627.6502,3783.3366,1226.2378,8871.7759,7213.0735,2197.7302,1304.7844
"TOTAL_TAGS=10000,prefix_length=32",4168.1349,3341.2621,3934.4859,1228.5259,8901.4465,6681.9928,2038.1097,1285.2420
"TOTAL_TAGS=10000,prefix_length=48",3636.4209,4054.0316,4093.4579,1227.0502,8855.1378,6151.9105,1877.3876,1264.0260
"TOTAL_TAGS=10000,prefix_length=64",3109.5718,4764.4157,4246.8993,1226.2824,8849.9522,5621.0936,1719.2976,1248.1878
"TOTAL_TAGS=10000,prefix_length=72",2846.1611,5105.7125,4322.3596,1226.4385,8894.1807,5355.5961,1637.8560,1181.0782
"TOTAL_TAGS=10000,prefix_length=80",2411.1918,4965.5213,4400.9114,1226.5775,8819.7229,5087.1488,1442.1996,796.4500
