scenario_label,algorithm_name,run_id_nunique
clustered,DQTA(k_max=3),50
clustered,DRCT,50
clustered,EMDT,50
clustered,LAPCT,50
clustered,NLHQT(n=2),50
clustered,SGCT,50
dispersed,DQTA(k_max=3),50
dispersed,DRCT,50
dispersed,EMDT,50
dispersed,LAPCT,50
dispersed,NLHQT(n=2),50
dispersed,SGCT,50
prefix80,DQTA(k_max=3),50
prefix80,DRCT,50
prefix80,EMDT,50
prefix80,LAPCT,50
prefix80,NLHQT(n=2),50
prefix80,SGCT,50
random,DQTA(k_max=3),50
random,DRCT,50
random,EMDT,50
random,LAPCT,50
random,NLHQT(n=2),50
random,SGCT,50
sequential,DQTA(k_max=3),50
sequential,DRCT,50
sequential,EMDT,50
sequential,LAPCT,50
sequential,NLHQT(n=2),50
sequential,SGCT,50
