TOTAL_TAGS,BINARY_LENGTH,scenario_label,id_distribution,scenario_point,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,ovg_trigger_count,hbmt_ovg_trigger_count,fallback_invocation_count,prefix_stagnation_trigger_count,prefix_stag_score_trigger_count,repeated_pattern_trigger_count,ovg_rehash_count,ovg_width_up_count,ovg_width_down_count,ovg_no_singleton_count,ovg_success_count,post_ovg_singleton_count,ovg_fallback_avoid_count,inspect_collision_count,fcw_cache_created_count,fcw_cache_hit_count,fcw_cache_hit_ratio,fcw_fast_path_count,fcw_width_up_count,fcw_width_down_count,adaptive_cbit_r4_count,multibit_fallback_count,mode_lock1_count,mode_lock2_count,mode_cbit_count,mode_pivot_count,mode_ovg_count,mode_fallback_count,fallback_invocation_ratio,prefix_length,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,cluster_count,cluster_prefix_length,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count.1,sparse_signature_groups.1,signature_groups_pruned.1,signature_marker_tag_bits.1,signature_collision_groups.1,signature_singleton_groups.1,max_signature_d.1,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,drct_random_check_count,drct_unresolved_stack_empty_count,channel_use_ratio
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,1964360595,108010972,16058660.0,900067.0,5370806.0,34775,8078533.776625,4485.537,8083019.313625,10000,10000,10895,9253,,,,,,,,,,,,,,,,,,,,5.907,,622.716964,DQTA(k_max=3),0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30148,0.331697,537.0806,90.0067,6270873.0,627.0873,1.080731,16058.66,,,,,,,,,,,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,4023127929,3042739568,15948193.75,893455.0,6072241.0,34449,7997403.081875,4823.0305,8002226.112375,10000,10000,10671,9185,,,,,,,,,,,,,,,,,,,,6.2768,,627.030255,DQTA(k_max=3),1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,29856,0.334941,607.2241,89.3455,6965696.0,696.5696,1.088732,15948.19375,,,,,,,,1786.91,3036.1205,800.222611,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,1646043734,2560519564,16094371.25,902611.0,5396331.0,34814,8034475.515125,4503.3875,8038978.902625,10000,10000,10898,9277,,,,,,,,,,,,,,,,,,,,5.9147,,621.335239,DQTA(k_max=3),2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30175,0.3314,539.6331,90.2611,6298942.0,629.8942,1.077935,16094.37125,,,,,,,,1805.222,2698.1655,803.89789,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,1674916061,2525610419,16080993.75,900596.0,5142930.0,35080,8006820.815875,4372.657,8011193.472875,10000,10000,11197,9255,,,,,,,,,,,,,,,,,,,,5.7882,,621.852117,DQTA(k_max=3),3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30452,0.328386,514.293,90.0596,6043526.0,604.3526,1.080497,16080.99375,,,,,,,,1801.192,2571.465,801.119347,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,1985965695,936805911,16171656.25,907859.0,5400071.0,35002,8093442.755125,4515.7535,8097958.508625,10000,10000,11014,9325,,,,,,,,,,,,,,,,,,,,5.9208,,618.365852,DQTA(k_max=3),4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30339,0.329609,540.0071,90.7859,6307930.0,630.793,1.072386,16171.65625,,,,,,,,1815.718,2700.0355,809.795851,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,2706970905,3250603265,16135248.75,905636.0,4949734.0,34952,8058971.44275,4286.139,8063257.58175,10000,10000,11003,9299,,,,,,,,,,,,,,,,,,,,5.671,,619.76113,DQTA(k_max=3),5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30302,0.330011,494.9734,90.5636,5855370.0,585.537,1.075384,16135.24875,,,,,,,,1811.272,2474.867,806.325758,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,3990002832,882801709,16150620.0,906594.0,5169683.0,34953,8098407.798875,4398.0295,8102805.828375,10000,10000,10986,9311,,,,,,,,,,,,,,,,,,,,5.7948,,619.171276,DQTA(k_max=3),6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30297,0.330066,516.9683,90.6594,6076277.0,607.6277,1.073998,16150.62,,,,,,,,1813.188,2584.8415,810.280583,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,2539609009,3886272970,16064755.0,901038.0,4929658.0,34704,8061990.460875,4266.905,8066257.365875,10000,10000,10815,9259,,,,,,,,,,,,,,,,,,,,5.6666,,622.480704,DQTA(k_max=3),7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30074,0.332513,492.9658,90.1038,5830696.0,583.0696,1.08003,16064.755,,,,,,,,1802.076,2464.829,806.625737,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,367148693,789468706,16093598.75,902101.0,5400988.0,34967,8054953.989625,4504.696,8059458.685625,10000,10000,11063,9269,,,,,,,,,,,,,,,,,,,,5.9155,,621.365063,DQTA(k_max=3),8,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30332,0.329685,540.0988,90.2101,6303089.0,630.3089,1.078865,16093.59875,,,,,,,,1804.202,2700.494,805.945869,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,2551069800,2383206558,16279437.5,914732.0,4919220.0,35214,8127273.42925,4289.074,8131562.50325,10000,10000,11121,9395,,,,,,,,,,,,,,,,,,,,5.6741,,614.271838,DQTA(k_max=3),9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30516,0.327697,491.922,91.4732,5833952.0,583.3952,1.064396,16279.4375,,,,,,,,1829.464,2459.61,813.15625,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,1740479644,2176106524,16245520.0,913369.0,4947379.0,34956,8186105.169875,4300.4275,8190405.597375,10000,10000,10884,9381,,,,,,,,,,,,,,,,,,,,5.6695,,615.554319,DQTA(k_max=3),10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30265,0.330415,494.7379,91.3369,5860748.0,586.0748,1.065984,16245.52,,,,,,,,1826.738,2473.6895,819.04056,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,1349708266,3272697172,16063078.75,899734.0,4912468.0,35036,8061045.31225,4255.702,8065301.01425,10000,10000,11171,9243,,,,,,,,,,,,,,,,,,,,5.6636,,622.545662,DQTA(k_max=3),11,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30414,0.328796,491.2468,89.9734,5812202.0,581.2202,1.0819,16063.07875,,,,,,,,1799.468,2456.234,806.530101,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,2557093920,3089464675,16136870.0,905085.0,5402126.0,34979,8093988.150125,4511.233,8098499.383125,10000,10000,11027,9301,,,,,,,,,,,,,,,,,,,,5.9119,,619.698864,DQTA(k_max=3),12,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30328,0.329728,540.2126,90.5085,6307211.0,630.7211,1.075153,16136.87,,,,,,,,1810.17,2701.063,809.849938,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,4043557019,410712008,16218753.75,910375.0,5158099.0,35153,8154835.304875,4399.7995,8159235.104375,10000,10000,11123,9353,,,,,,,,,,,,,,,,,,,,5.7981,,616.570185,DQTA(k_max=3),13,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30476,0.328127,515.8099,91.0375,6068474.0,606.8474,1.069176,16218.75375,,,,,,,,1820.75,2579.0495,815.92351,,,
10000,96,clustered,clustered,scenario_label=clustered,0.0,True,True,formal_experiment13_sgct_signature_grouping,2815203609,198938640,16135827.5,905151.0,4928525.0,35027,8053007.7115,4274.5645,8057282.276,10000,10000,11081,9297,,,,,,,,,,,,,,,,,,,,5.6667,,619.738901,DQTA(k_max=3),14,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,64.0,30378,0.329186,492.8525,90.5151,5833676.0,583.3676,1.075616,16135.8275,,,,,,,,1810.302,2464.2625,805.728228,,,
