scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",1.0727,0.5208,0.9620,1.7840,0.3968,0.9794,0.4354,3.3335
"scenario_label=clustered,TOTAL_TAGS=10000",1.0759,0.6707,0.9672,1.6802,0.0682,0.9924,0.5355,3.5829
"scenario_label=clustered,TOTAL_TAGS=2000",1.1008,0.5935,0.9615,1.8847,0.2131,0.9847,0.4867,5.1348
"scenario_label=clustered,TOTAL_TAGS=3000",1.1331,0.6261,0.9673,1.6928,0.1620,0.9895,0.5052,5.5917
"scenario_label=clustered,TOTAL_TAGS=5000",1.1142,0.6510,0.9607,1.7126,0.0985,0.9936,0.5228,5.2023
"scenario_label=clustered,TOTAL_TAGS=7000",1.0861,0.6621,0.9608,1.7198,0.0782,0.9899,0.5299,4.4410
"scenario_label=prefixed,TOTAL_TAGS=1000",1.0799,0.6682,1.2003,1.7832,0.4022,0.9613,0.5505,2.0578
"scenario_label=prefixed,TOTAL_TAGS=10000",1.0767,0.6907,1.2044,1.6881,0.0683,0.9959,0.5487,5.2796
"scenario_label=prefixed,TOTAL_TAGS=2000",1.1089,0.6847,1.2011,1.8918,0.2143,0.9799,0.5494,3.5243
"scenario_label=prefixed,TOTAL_TAGS=3000",1.1339,0.6867,1.2087,1.6987,0.1636,0.9865,0.5500,4.6616
"scenario_label=prefixed,TOTAL_TAGS=5000",1.1140,0.6897,1.2050,1.7071,0.0983,0.9919,0.5500,5.7185
"scenario_label=prefixed,TOTAL_TAGS=7000",1.0872,0.6920,1.2026,1.7325,0.0775,0.9942,0.5492,5.7763
"scenario_label=random,TOTAL_TAGS=1000",1.0813,0.6919,1.2059,1.8004,0.4009,0.9613,0.5492,2.0686
"scenario_label=random,TOTAL_TAGS=10000",1.0780,0.6939,1.2044,1.6871,0.0685,0.9959,0.5485,5.2705
"scenario_label=random,TOTAL_TAGS=2000",1.1088,0.6943,1.2053,1.8971,0.2128,0.9799,0.5502,3.5304
"scenario_label=random,TOTAL_TAGS=3000",1.1356,0.6948,1.2012,1.7039,0.1630,0.9865,0.5488,4.6445
"scenario_label=random,TOTAL_TAGS=5000",1.1133,0.6940,1.2039,1.7220,0.0985,0.9919,0.5504,5.7583
"scenario_label=random,TOTAL_TAGS=7000",1.0872,0.6944,1.2028,1.7282,0.0782,0.9942,0.5495,5.8129
"scenario_label=sequential,TOTAL_TAGS=1000",0.8811,0.9208,1.2048,1.8176,0.4007,0.9625,0.7491,1000.0000
"scenario_label=sequential,TOTAL_TAGS=10000",1.7473,0.9915,1.1074,1.6806,0.0688,0.9906,0.7497,31.7460
"scenario_label=sequential,TOTAL_TAGS=2000",1.7376,0.9592,1.2007,1.8939,0.2119,0.9799,0.5997,2000.0000
"scenario_label=sequential,TOTAL_TAGS=3000",3.5006,0.9724,1.1050,1.6936,0.1631,0.9898,0.7496,3000.0000
"scenario_label=sequential,TOTAL_TAGS=5000",0.8761,0.9829,1.1071,1.7160,0.0985,0.9938,0.5996,15.8730
"scenario_label=sequential,TOTAL_TAGS=7000",0.8758,0.9880,1.1519,1.7276,0.0780,0.9942,0.5999,15.9453
