scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",87.4377,173.5732,177.5790,28.0381,103.3925,208.1345,177.6655,58.3110
"scenario_label=clustered,TOTAL_TAGS=10000",90.4738,152.9571,177.1949,24.4716,357.9938,212.5178,170.8958,54.8845
"scenario_label=clustered,TOTAL_TAGS=2000",86.1493,161.2090,177.5939,29.0088,147.0759,209.5386,172.2408,45.4345
"scenario_label=clustered,TOTAL_TAGS=3000",84.3316,156.4759,177.1765,28.5834,176.8749,210.5370,170.8832,43.3838
"scenario_label=clustered,TOTAL_TAGS=5000",86.5370,154.0795,177.4738,25.6135,261.3970,211.6216,170.5403,44.8000
"scenario_label=clustered,TOTAL_TAGS=7000",89.2126,153.3428,177.5428,23.8319,317.9131,211.7789,170.9563,48.6070
"scenario_label=prefixed,TOTAL_TAGS=1000",75.2033,128.7434,186.3244,27.8454,102.3893,193.7143,59.8442,75.7013
"scenario_label=prefixed,TOTAL_TAGS=10000",78.3737,130.8130,186.0558,24.4583,357.6250,199.8544,65.6420,42.2630
"scenario_label=prefixed,TOTAL_TAGS=2000",73.9926,127.8294,186.2643,28.9872,146.4844,196.2545,61.5885,53.2755
"scenario_label=prefixed,TOTAL_TAGS=3000",72.9281,128.5627,185.8159,28.5299,175.7178,197.3717,62.5505,45.5287
"scenario_label=prefixed,TOTAL_TAGS=5000",74.9680,129.2518,186.0241,25.6467,261.5335,198.5375,63.8038,40.9908
"scenario_label=prefixed,TOTAL_TAGS=7000",77.2292,129.7752,186.1597,23.7634,320.3176,199.2079,64.7026,40.6526
"scenario_label=random,TOTAL_TAGS=1000",30.6630,52.9372,146.1830,27.9739,103.2878,147.7447,59.8598,52.1687
"scenario_label=random,TOTAL_TAGS=10000",33.7498,58.1110,146.1998,24.3757,356.1846,152.0645,65.6502,33.1733
"scenario_label=random,TOTAL_TAGS=2000",30.6770,54.3289,146.1786,28.9733,147.4818,149.2803,61.4989,39.6018
"scenario_label=random,TOTAL_TAGS=3000",30.5378,55.2373,146.2828,28.5226,176.1955,150.0642,62.6227,35.2590
"scenario_label=random,TOTAL_TAGS=5000",31.8804,56.4812,146.2178,25.5477,261.0792,150.9500,63.8016,32.5128
"scenario_label=random,TOTAL_TAGS=7000",33.0649,57.2344,146.2368,23.7878,317.7771,151.4994,64.6616,32.2711
"scenario_label=sequential,TOTAL_TAGS=1000",134.1260,132.3060,217.5846,28.1323,102.4412,229.3960,42.5740,22.1830
"scenario_label=sequential,TOTAL_TAGS=10000",67.0128,126.6840,223.1644,24.4862,355.0800,232.9525,47.7960,26.3434
"scenario_label=sequential,TOTAL_TAGS=2000",67.4430,129.1140,217.0942,28.9766,147.9317,231.6625,54.7865,22.0945
"scenario_label=sequential,TOTAL_TAGS=3000",33.1950,128.0983,224.9907,28.5847,176.1191,232.8597,45.1567,22.0650
"scenario_label=sequential,TOTAL_TAGS=5000",134.7880,127.3510,224.0990,25.5799,261.3278,233.3196,58.0922,30.5308
"scenario_label=sequential,TOTAL_TAGS=7000",134.8361,126.9407,219.6406,23.7885,318.7703,233.3424,58.0761,30.4859
