scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",472.3571,314.9514,142.4432,139.3270,152.4093,379.0722,265.9515,96.0395
"scenario_label=clustered,TOTAL_TAGS=10000",521.2132,324.7985,140.8130,147.7660,346.8332,426.8826,268.9225,99.8806
"scenario_label=clustered,TOTAL_TAGS=2000",491.7527,318.0742,142.1810,143.8725,187.1112,394.3117,266.6728,96.5699
"scenario_label=clustered,TOTAL_TAGS=3000",493.4468,319.7627,140.9416,143.9999,210.8178,402.9675,266.9242,96.8075
"scenario_label=clustered,TOTAL_TAGS=5000",501.8595,321.7950,142.2358,144.0679,274.5289,423.7160,268.1480,97.8810
"scenario_label=clustered,TOTAL_TAGS=7000",514.6609,323.3134,142.4250,144.6466,316.7877,423.3370,268.8831,98.7146
"scenario_label=prefixed,TOTAL_TAGS=1000",338.7623,277.4546,73.9259,139.1104,151.8451,310.4516,109.7892,82.0477
"scenario_label=prefixed,TOTAL_TAGS=10000",414.6487,287.0254,73.7645,147.8240,346.5722,430.8441,113.1231,84.2791
"scenario_label=prefixed,TOTAL_TAGS=2000",361.9428,280.2525,73.8469,143.8938,186.7394,347.3472,110.7929,82.4320
"scenario_label=prefixed,TOTAL_TAGS=3000",374.2972,281.7878,73.6919,143.9619,209.8750,369.0039,111.3766,82.7014
"scenario_label=prefixed,TOTAL_TAGS=5000",390.7786,284.1169,73.7620,144.0452,274.7341,395.6667,112.1155,83.1777
"scenario_label=prefixed,TOTAL_TAGS=7000",402.5713,285.4974,73.8155,144.6539,318.6685,413.0610,112.6064,83.6376
"scenario_label=random,TOTAL_TAGS=1000",727.5765,138.7658,140.6647,139.3363,151.9910,661.4117,205.7973,130.0183
"scenario_label=random,TOTAL_TAGS=10000",910.4632,147.3716,140.6971,147.7142,345.5297,940.3780,209.1253,132.2849
"scenario_label=random,TOTAL_TAGS=2000",782.3219,141.0732,140.6586,143.9018,187.2621,745.3664,206.7833,130.4200
"scenario_label=random,TOTAL_TAGS=3000",812.1959,142.7463,140.9880,144.0000,210.2595,795.4235,207.3847,130.7149
"scenario_label=random,TOTAL_TAGS=5000",852.6255,144.4271,140.7370,144.0776,274.4250,857.5541,208.1172,131.1577
"scenario_label=random,TOTAL_TAGS=7000",880.7655,145.8061,140.7135,144.6370,316.6502,897.9961,208.6006,131.6178
"scenario_label=sequential,TOTAL_TAGS=1000",33.9760,384.0700,20.8048,139.6374,151.9827,34.1280,30.0000,11.0000
"scenario_label=sequential,TOTAL_TAGS=10000",65.9744,384.0614,27.2643,147.7957,344.7976,64.4288,42.0000,35.9936
"scenario_label=sequential,TOTAL_TAGS=2000",40.9760,384.0540,22.2533,143.8998,187.6235,41.9600,33.0000,12.0000
"scenario_label=sequential,TOTAL_TAGS=3000",48.0000,384.0580,24.5432,144.0012,210.1789,50.9893,36.0000,13.0000
"scenario_label=sequential,TOTAL_TAGS=5000",56.9776,384.0788,25.8111,144.0641,274.5491,59.3488,39.0000,32.9920
"scenario_label=sequential,TOTAL_TAGS=7000",56.9966,384.0654,25.5094,144.6451,317.3378,59.8069,39.0000,33.0000
