scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",4.6939,72.2800,4.3685,4.5399,82.1414,9.5412,38.1857,6.1047
"scenario_label=clustered,TOTAL_TAGS=10000",5.8190,75.6193,4.3327,5.3181,254.9842,11.8626,39.7613,6.5806
"scenario_label=clustered,TOTAL_TAGS=2000",5.0531,73.2963,4.3659,4.8304,108.4094,10.2496,38.6164,6.1681
"scenario_label=clustered,TOTAL_TAGS=3000",5.1960,73.8709,4.3384,5.0775,133.9569,10.7653,38.8321,6.2092
"scenario_label=clustered,TOTAL_TAGS=5000",5.4336,74.6140,4.3625,5.1570,174.8623,11.5400,39.3140,6.3322
"scenario_label=clustered,TOTAL_TAGS=7000",5.6400,75.1020,4.3705,5.1913,225.3893,11.4853,39.6215,6.4360
"scenario_label=prefixed,TOTAL_TAGS=1000",4.0557,59.3135,3.7941,4.5360,82.8580,8.3159,7.8946,4.0052
"scenario_label=prefixed,TOTAL_TAGS=10000",5.1656,62.6207,3.7871,5.3127,254.1628,11.6146,9.5616,4.2836
"scenario_label=prefixed,TOTAL_TAGS=2000",4.3822,60.2895,3.7913,4.8285,106.6461,9.2969,8.3964,4.0560
"scenario_label=prefixed,TOTAL_TAGS=3000",4.5622,60.8762,3.7839,5.0736,126.0693,9.8836,8.6883,4.0877
"scenario_label=prefixed,TOTAL_TAGS=5000",4.8069,61.6141,3.7872,5.1603,173.7139,10.6194,9.0577,4.1466
"scenario_label=prefixed,TOTAL_TAGS=7000",4.9831,62.0951,3.7891,5.1818,230.2811,11.1076,9.3032,4.2039
"scenario_label=random,TOTAL_TAGS=1000",4.0527,11.3085,3.7876,4.5282,84.0386,8.3137,7.8986,4.0028
"scenario_label=random,TOTAL_TAGS=10000",5.1651,14.6178,3.7879,5.3105,252.4963,11.6150,9.5626,4.2843
"scenario_label=random,TOTAL_TAGS=2000",4.3803,12.2916,3.7872,4.8221,105.8324,9.2941,8.3917,4.0547
"scenario_label=random,TOTAL_TAGS=3000",4.5619,12.8762,3.7941,5.0700,126.6574,9.8838,8.6924,4.0895
"scenario_label=random,TOTAL_TAGS=5000",4.8091,13.6169,3.7891,5.1495,173.6467,10.6213,9.0586,4.1441
"scenario_label=random,TOTAL_TAGS=7000",4.9819,14.1002,3.7882,5.1850,225.0000,11.1048,9.3003,4.2014
"scenario_label=sequential,TOTAL_TAGS=1000",3.9920,96.0000,3.7871,4.5250,82.4303,8.0240,7.0000,1.0000
"scenario_label=sequential,TOTAL_TAGS=10000",4.9984,96.0000,3.9787,5.3174,251.1838,10.9952,9.0000,4.0000
"scenario_label=sequential,TOTAL_TAGS=2000",4.0000,96.0000,3.7971,4.8266,109.2924,8.9920,8.0000,1.0000
"scenario_label=sequential,TOTAL_TAGS=3000",4.0000,96.0000,3.9857,5.0772,127.7425,9.9973,8.0000,1.0000
"scenario_label=sequential,TOTAL_TAGS=5000",4.9968,96.0000,3.9825,5.1544,173.9487,10.8144,9.0000,4.0000
"scenario_label=sequential,TOTAL_TAGS=7000",4.9989,96.0000,3.8812,5.1848,226.6559,10.8640,9.0000,4.0000
