scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",559.7948,488.5246,320.0222,167.3652,255.8018,587.2067,443.6170,154.3505
"scenario_label=clustered,TOTAL_TAGS=10000",611.6870,477.7556,318.0079,172.2376,704.8270,639.4004,439.8183,154.7651
"scenario_label=clustered,TOTAL_TAGS=2000",577.9020,479.2832,319.7749,172.8812,334.1871,603.8503,438.9136,142.0044
"scenario_label=clustered,TOTAL_TAGS=3000",577.7784,476.2386,318.1181,172.5833,387.6927,613.5045,437.8074,140.1913
"scenario_label=clustered,TOTAL_TAGS=5000",588.3965,475.8745,319.7095,169.6814,535.9259,635.3376,438.6883,142.6809
"scenario_label=clustered,TOTAL_TAGS=7000",603.8735,476.6562,319.9678,168.4785,634.7009,635.1159,439.8393,147.3216
"scenario_label=prefixed,TOTAL_TAGS=1000",413.9656,406.1980,260.2503,166.9558,254.2344,504.1659,169.6334,157.7491
"scenario_label=prefixed,TOTAL_TAGS=10000",493.0224,417.8384,259.8203,172.2823,704.1972,630.6986,178.7651,126.5421
"scenario_label=prefixed,TOTAL_TAGS=2000",435.9354,408.0818,260.1112,172.8810,333.2237,543.6017,172.3813,135.7074
"scenario_label=prefixed,TOTAL_TAGS=3000",447.2253,410.3505,259.5078,172.4918,385.5928,566.3756,173.9271,128.2301
"scenario_label=prefixed,TOTAL_TAGS=5000",465.7465,413.3687,259.7862,169.6920,536.2676,594.2042,175.9193,124.1685
"scenario_label=prefixed,TOTAL_TAGS=7000",479.8005,415.2727,259.9752,168.4173,638.9861,612.2689,177.3090,124.2902
"scenario_label=random,TOTAL_TAGS=1000",758.2395,191.7030,286.8477,167.3102,255.2788,809.1565,265.6571,182.1869
"scenario_label=random,TOTAL_TAGS=10000",944.2130,205.4826,286.8969,172.0900,701.7143,1092.4425,274.7755,165.4582
"scenario_label=random,TOTAL_TAGS=2000",812.9989,195.4021,286.8373,172.8751,334.7439,894.6467,268.2823,170.0217
"scenario_label=random,TOTAL_TAGS=3000",842.7336,197.9836,287.2708,172.5226,386.4550,945.4877,270.0075,165.9739
"scenario_label=random,TOTAL_TAGS=5000",884.5060,200.9083,286.9548,169.6254,535.5042,1008.5041,271.9188,163.6705
"scenario_label=random,TOTAL_TAGS=7000",913.8303,203.0405,286.9503,168.4248,634.4274,1049.4954,273.2622,163.8888
"scenario_label=sequential,TOTAL_TAGS=1000",168.1020,516.3760,238.3894,167.7697,254.4240,263.5240,72.5740,33.1830
"scenario_label=sequential,TOTAL_TAGS=10000",132.9872,510.7454,250.4287,172.2819,699.8776,297.3813,89.7960,62.3370
"scenario_label=sequential,TOTAL_TAGS=2000",108.4190,513.1680,239.3475,172.8765,335.5553,273.6225,87.7865,34.0945
"scenario_label=sequential,TOTAL_TAGS=3000",81.1950,512.1563,249.5338,172.5859,386.2980,283.8490,81.1567,35.0650
"scenario_label=sequential,TOTAL_TAGS=5000",191.7656,511.4298,249.9101,169.6440,535.8768,292.6684,97.0922,63.5228
"scenario_label=sequential,TOTAL_TAGS=7000",191.8327,511.0061,245.1500,168.4335,636.1080,293.1493,97.0761,63.4859
