scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",932.5600,1920.4400,1046.8400,564.1200,2525.5800,1021.0000,2297.0600,300.1000
"scenario_label=clustered,TOTAL_TAGS=10000",9295.0000,14909.6000,10380.0800,5954.2400,146770.7800,10076.1200,18675.2000,2792.3200
"scenario_label=clustered,TOTAL_TAGS=2000",1817.2400,3370.2400,2093.4400,1062.6000,9388.9000,2031.1200,4109.7000,390.0800
"scenario_label=clustered,TOTAL_TAGS=3000",2648.0400,4791.7000,3115.4800,1773.5600,18528.3400,3031.8000,5938.3400,537.3600
"scenario_label=clustered,TOTAL_TAGS=5000",4487.9200,7681.2800,5226.0800,2921.7800,50790.2800,5032.3200,9565.2000,962.0400
"scenario_label=clustered,TOTAL_TAGS=7000",6445.4800,10572.6000,7323.5200,4072.4200,89594.6400,7071.3200,13210.8400,1577.4200
"scenario_label=prefixed,TOTAL_TAGS=1000",926.2800,1497.3400,833.6400,564.3800,2490.3200,1040.2400,1816.9200,486.1800
"scenario_label=prefixed,TOTAL_TAGS=10000",9287.6800,14478.6200,8303.5200,5926.8800,146607.6000,10041.5200,18225.8000,1895.7200
"scenario_label=prefixed,TOTAL_TAGS=2000",1803.8800,2921.9000,1665.6400,1059.2600,9342.4200,2041.0000,3640.7000,567.6600
"scenario_label=prefixed,TOTAL_TAGS=3000",2646.0000,4369.4800,2482.2800,1768.0400,18351.5600,3041.0000,5454.5800,643.9000
"scenario_label=prefixed,TOTAL_TAGS=5000",4488.5200,7250.1800,4149.9600,2931.6600,50854.4000,5041.0000,9090.9400,874.9600
"scenario_label=prefixed,TOTAL_TAGS=7000",6439.0400,10115.8600,5821.3600,4042.5400,90417.4800,7041.0000,12746.4400,1212.5600
"scenario_label=random,TOTAL_TAGS=1000",925.2000,1445.9600,829.8800,558.7400,2499.4400,1040.2800,1821.1600,483.6400
"scenario_label=random,TOTAL_TAGS=10000",9277.0400,14411.4000,8303.2800,5928.9200,145956.0600,10041.5600,18230.7000,1898.2800
"scenario_label=random,TOTAL_TAGS=2000",1804.0000,2881.3400,1659.7600,1055.7400,9407.7600,2041.0000,3635.4200,566.6400
"scenario_label=random,TOTAL_TAGS=3000",2642.1600,4318.3400,2497.8800,1762.4800,18423.6600,3041.0000,5467.2600,646.3600
"scenario_label=random,TOTAL_TAGS=5000",4491.2800,7205.1400,4153.4800,2905.9400,50757.8200,5041.0000,9085.1400,868.9600
"scenario_label=random,TOTAL_TAGS=7000",6438.8400,10081.8400,5819.9600,4053.2600,89534.4800,7041.0000,12739.9600,1205.1800
"scenario_label=sequential,TOTAL_TAGS=1000",1135.0000,1086.0000,830.3200,553.1800,2498.9200,1039.0000,1335.0000,0.0000
"scenario_label=sequential,TOTAL_TAGS=10000",5723.0000,10086.0000,9030.9600,5953.2800,145498.5200,10095.0000,13339.0000,315.0000
"scenario_label=sequential,TOTAL_TAGS=2000",1151.0000,2085.0000,1666.0000,1058.2800,9452.9400,2041.0000,3335.0000,0.0000
"scenario_label=sequential,TOTAL_TAGS=3000",857.0000,3085.0000,2715.1600,1773.2800,18408.5400,3031.0000,4002.0000,0.0000
"scenario_label=sequential,TOTAL_TAGS=5000",5707.0000,5087.0000,4516.5600,2916.0600,50796.5800,5031.0000,8339.0000,315.0000
"scenario_label=sequential,TOTAL_TAGS=7000",7993.0000,7085.0000,6077.3200,4053.4200,89835.2800,7041.0000,11669.0000,439.0000
