scenario_point,DRCT
"scenario_label=clustered,TOTAL_TAGS=1000",137.2756
"scenario_label=clustered,TOTAL_TAGS=10000",1163.1604
"scenario_label=clustered,TOTAL_TAGS=2000",250.6626
"scenario_label=clustered,TOTAL_TAGS=3000",362.6174
"scenario_label=clustered,TOTAL_TAGS=5000",590.7349
"scenario_label=clustered,TOTAL_TAGS=7000",820.0894
"scenario_label=prefixed,TOTAL_TAGS=1000",109.2934
"scenario_label=prefixed,TOTAL_TAGS=10000",1062.4597
"scenario_label=prefixed,TOTAL_TAGS=2000",212.9187
"scenario_label=prefixed,TOTAL_TAGS=3000",318.7889
"scenario_label=prefixed,TOTAL_TAGS=5000",529.4072
"scenario_label=prefixed,TOTAL_TAGS=7000",740.8877
"scenario_label=random,TOTAL_TAGS=1000",74.7564
"scenario_label=random,TOTAL_TAGS=10000",762.4676
"scenario_label=random,TOTAL_TAGS=2000",149.9014
"scenario_label=random,TOTAL_TAGS=3000",225.4366
"scenario_label=random,TOTAL_TAGS=5000",378.2888
"scenario_label=random,TOTAL_TAGS=7000",531.2110
"scenario_label=sequential,TOTAL_TAGS=1000",99.7608
"scenario_label=sequential,TOTAL_TAGS=10000",905.0980
"scenario_label=sequential,TOTAL_TAGS=2000",189.1830
"scenario_label=sequential,TOTAL_TAGS=3000",278.6663
"scenario_label=sequential,TOTAL_TAGS=5000",457.6482
"scenario_label=sequential,TOTAL_TAGS=7000",636.6120
