scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",1060.1200,922.4400,0.0000,217.0000,1174.0800,6.2000,0.0000,0.0000
"scenario_label=clustered,TOTAL_TAGS=10000",10984.2200,4911.6000,0.0000,3974.3000,5953.6600,6.2000,0.0000,0.0000
"scenario_label=clustered,TOTAL_TAGS=2000",2238.0800,1372.2400,0.0000,378.4400,1981.6400,5.9600,0.0000,0.0000
"scenario_label=clustered,TOTAL_TAGS=3000",3207.6800,1793.7000,0.0000,753.3000,2590.9600,5.6000,0.0000,0.0000
"scenario_label=clustered,TOTAL_TAGS=5000",5110.0600,2683.2800,0.0000,1752.6400,3618.1400,5.8400,0.0000,0.0000
"scenario_label=clustered,TOTAL_TAGS=7000",7312.3600,3574.6000,0.0000,2970.7000,4559.5400,6.3800,0.0000,0.0000
"scenario_label=prefixed,TOTAL_TAGS=1000",1074.6600,499.3400,0.0000,218.1600,1163.7400,0.0000,0.0000,0.0000
"scenario_label=prefixed,TOTAL_TAGS=10000",10990.0200,4480.6200,0.0000,3931.5000,5949.2200,0.0000,0.0000,0.0000
"scenario_label=prefixed,TOTAL_TAGS=2000",2241.6200,923.9000,0.0000,376.9400,1974.3400,0.0000,0.0000,0.0000
"scenario_label=prefixed,TOTAL_TAGS=3000",3198.2800,1371.4800,0.0000,753.8200,2609.9600,0.0000,0.0000,0.0000
"scenario_label=prefixed,TOTAL_TAGS=5000",5123.8400,2252.1800,0.0000,1766.1000,3585.0400,0.0000,0.0000,0.0000
"scenario_label=prefixed,TOTAL_TAGS=7000",7348.1800,3117.8600,0.0000,2965.0200,4501.7600,0.0000,0.0000,0.0000
"scenario_label=random,TOTAL_TAGS=1000",1070.7600,447.9600,0.0000,215.9600,1195.4600,0.0000,0.0000,0.0000
"scenario_label=random,TOTAL_TAGS=10000",10976.1400,4413.4000,0.0000,3978.0200,5946.0400,0.0000,0.0000,0.0000
"scenario_label=random,TOTAL_TAGS=2000",2225.7800,883.3400,0.0000,373.8400,1999.6800,0.0000,0.0000,0.0000
"scenario_label=random,TOTAL_TAGS=3000",3206.6000,1320.3400,0.0000,754.4000,2603.0000,0.0000,0.0000,0.0000
"scenario_label=random,TOTAL_TAGS=5000",5103.9000,2207.1400,0.0000,1744.2400,3578.3600,0.0000,0.0000,0.0000
"scenario_label=random,TOTAL_TAGS=7000",7309.4200,3083.8400,0.0000,2979.3400,4576.4200,0.0000,0.0000,0.0000
"scenario_label=sequential,TOTAL_TAGS=1000",1.0000,88.0000,0.0000,209.4600,1157.5000,0.0000,0.0000,0.0000
"scenario_label=sequential,TOTAL_TAGS=10000",3.0000,88.0000,0.0000,3960.6400,5901.4800,2.0000,0.0000,0.0000
"scenario_label=sequential,TOTAL_TAGS=2000",1.0000,87.0000,0.0000,375.5000,1995.4000,1.0000,0.0000,0.0000
"scenario_label=sequential,TOTAL_TAGS=3000",4.0000,87.0000,0.0000,751.7400,2607.7000,2.0000,0.0000,0.0000
"scenario_label=sequential,TOTAL_TAGS=5000",3.0000,89.0000,0.0000,1748.3600,3596.1000,2.0000,0.0000,0.0000
"scenario_label=sequential,TOTAL_TAGS=7000",4.0000,87.0000,0.0000,2975.5800,4591.6200,1.0000,0.0000,0.0000
