scenario_point,SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",128.7400
"scenario_label=clustered,TOTAL_TAGS=10000",129.0000
"scenario_label=clustered,TOTAL_TAGS=2000",129.0000
"scenario_label=clustered,TOTAL_TAGS=3000",129.0000
"scenario_label=clustered,TOTAL_TAGS=5000",129.0000
"scenario_label=clustered,TOTAL_TAGS=7000",129.0000
"scenario_label=prefixed,TOTAL_TAGS=1000",232.3000
"scenario_label=prefixed,TOTAL_TAGS=10000",257.0000
"scenario_label=prefixed,TOTAL_TAGS=2000",256.0200
"scenario_label=prefixed,TOTAL_TAGS=3000",257.0000
"scenario_label=prefixed,TOTAL_TAGS=5000",257.0000
"scenario_label=prefixed,TOTAL_TAGS=7000",257.0000
"scenario_label=random,TOTAL_TAGS=1000",231.4600
"scenario_label=random,TOTAL_TAGS=10000",257.0000
"scenario_label=random,TOTAL_TAGS=2000",256.3200
"scenario_label=random,TOTAL_TAGS=3000",257.0000
"scenario_label=random,TOTAL_TAGS=5000",257.0000
"scenario_label=random,TOTAL_TAGS=7000",257.0000
"scenario_label=sequential,TOTAL_TAGS=1000",1.0000
"scenario_label=sequential,TOTAL_TAGS=10000",1.0000
"scenario_label=sequential,TOTAL_TAGS=2000",1.0000
"scenario_label=sequential,TOTAL_TAGS=3000",1.0000
"scenario_label=sequential,TOTAL_TAGS=5000",1.0000
"scenario_label=sequential,TOTAL_TAGS=7000",1.0000
