scenario_point,SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",8.0000
"scenario_label=clustered,TOTAL_TAGS=10000",8.0000
"scenario_label=clustered,TOTAL_TAGS=2000",8.0000
"scenario_label=clustered,TOTAL_TAGS=3000",8.0000
"scenario_label=clustered,TOTAL_TAGS=5000",8.0000
"scenario_label=clustered,TOTAL_TAGS=7000",8.0000
"scenario_label=prefixed,TOTAL_TAGS=1000",8.0000
"scenario_label=prefixed,TOTAL_TAGS=10000",8.0000
"scenario_label=prefixed,TOTAL_TAGS=2000",8.0000
"scenario_label=prefixed,TOTAL_TAGS=3000",8.0000
"scenario_label=prefixed,TOTAL_TAGS=5000",8.0000
"scenario_label=prefixed,TOTAL_TAGS=7000",8.0000
"scenario_label=random,TOTAL_TAGS=1000",8.0000
"scenario_label=random,TOTAL_TAGS=10000",8.0000
"scenario_label=random,TOTAL_TAGS=2000",8.0000
"scenario_label=random,TOTAL_TAGS=3000",8.0000
"scenario_label=random,TOTAL_TAGS=5000",8.0000
"scenario_label=random,TOTAL_TAGS=7000",8.0000
"scenario_label=sequential,TOTAL_TAGS=1000",10.0000
"scenario_label=sequential,TOTAL_TAGS=10000",8.0000
"scenario_label=sequential,TOTAL_TAGS=2000",11.0000
"scenario_label=sequential,TOTAL_TAGS=3000",12.0000
"scenario_label=sequential,TOTAL_TAGS=5000",8.0000
"scenario_label=sequential,TOTAL_TAGS=7000",8.0000
