scenario_point,candidate,baseline,metric,candidate_mean,baseline_mean,mean_improvement,mean_improvement_pct,paired_t_stat,paired_t_p_value_normal_approx,cohens_d,win_rate,n
"scenario_label=clustered,TOTAL_TAGS=1000",SGCT,DRCT,total_protocol_time_ms,1252.550100,2669.981175,1417.431075,53.087680,229.768456,0.000000,32.494167,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=1000",SGCT,LAPCT,total_protocol_time_ms,1252.550100,2937.865500,1685.315400,57.365301,1133.357023,0.000000,160.280887,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=1000",SGCT,DQTA(k_max=3),total_protocol_time_ms,1252.550100,1617.663575,365.113475,22.570421,93.040876,0.000000,13.157967,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=1000",SGCT,EMDT,total_protocol_time_ms,1252.550100,1339.500900,86.950800,6.491283,14.771083,0.000000,2.088947,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=1000",SGCT,NLHQT(n=2),total_protocol_time_ms,1252.550100,2738.904425,1486.354325,54.268207,383.867624,0.000000,54.287080,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=1000",SGCT,EAQ_CBB,total_protocol_time_ms,1252.550100,2637.293300,1384.743200,52.506227,122.799820,0.000000,17.366517,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=1000",SGCT,HT_EEAC,total_protocol_time_ms,1252.550100,2609.204850,1356.654750,51.994950,136.386431,0.000000,19.287954,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=10000",SGCT,DRCT,total_protocol_time_ms,10175.358575,23176.630750,13001.272175,56.096472,606.579216,0.000000,85.783255,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=10000",SGCT,LAPCT,total_protocol_time_ms,10175.358575,29656.567450,19481.208875,65.689358,1396.626984,0.000000,197.512882,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=10000",SGCT,DQTA(k_max=3),total_protocol_time_ms,10175.358575,16126.636625,5951.278050,36.903405,467.727967,0.000000,66.146723,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=10000",SGCT,EMDT,total_protocol_time_ms,10175.358575,13689.568550,3514.209975,25.670714,153.321256,0.000000,21.682900,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=10000",SGCT,NLHQT(n=2),total_protocol_time_ms,10175.358575,25145.650375,14970.291800,59.534319,591.619642,0.000000,83.667652,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=10000",SGCT,EAQ_CBB,total_protocol_time_ms,10175.358575,26295.905850,16120.547275,61.304400,193.735310,0.000000,27.398310,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=10000",SGCT,HT_EEAC,total_protocol_time_ms,10175.358575,79731.992100,69556.633525,87.238048,349.022591,0.000000,49.359248,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=2000",SGCT,DRCT,total_protocol_time_ms,1934.877250,4938.252300,3003.375050,60.818583,309.182928,0.000000,43.725069,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=2000",SGCT,LAPCT,total_protocol_time_ms,1934.877250,5891.955400,3957.078150,67.160694,1139.966810,0.000000,161.215652,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=2000",SGCT,DQTA(k_max=3),total_protocol_time_ms,1934.877250,3170.574675,1235.697425,38.973926,198.621246,0.000000,28.089286,1.000000,50
"scenario_label=clustered,TOTAL_TAGS=2000",SGCT,EMDT,total_protocol_time_ms,1934.877250,2703.906000,769.028750,28.441401,137.084881,0.000000,19.386730,1.000000,50
