scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",17.5200,9.8800,248.1800,34.1600,13.0400,15.4400,22.8800
"scenario_label=clustered,TOTAL_TAGS=10000",25.6000,13.3200,2457.8600,46.8200,17.7400,20.3200,34.9400
"scenario_label=clustered,TOTAL_TAGS=2000",19.6800,10.7400,493.3400,37.8000,14.5600,16.4400,22.9400
"scenario_label=clustered,TOTAL_TAGS=3000",20.8600,11.5400,738.3200,39.7600,15.2200,18.1400,23.5000
"scenario_label=clustered,TOTAL_TAGS=5000",22.7600,12.1200,1229.3400,42.5200,15.8000,19.4000,25.8600
"scenario_label=clustered,TOTAL_TAGS=7000",23.8800,12.8800,1721.4800,44.6000,17.0800,19.7400,29.0000
"scenario_label=prefixed,TOTAL_TAGS=1000",19.5600,9.5800,248.3400,34.0600,14.2600,15.8400,231.3000
"scenario_label=prefixed,TOTAL_TAGS=10000",27.2800,13.0200,2456.0000,46.8000,17.7400,20.9600,258.6200
"scenario_label=prefixed,TOTAL_TAGS=2000",21.6600,10.6200,493.4800,37.8400,15.3600,17.4600,255.0200
"scenario_label=prefixed,TOTAL_TAGS=3000",22.9400,11.3000,739.1200,39.9000,15.9600,18.3800,256.0000
"scenario_label=prefixed,TOTAL_TAGS=5000",24.8000,12.0400,1230.4000,42.4800,16.6600,19.3600,256.3200
"scenario_label=prefixed,TOTAL_TAGS=7000",25.8000,12.4200,1720.2200,44.2400,17.3000,20.3200,256.7600
"scenario_label=random,TOTAL_TAGS=1000",19.3000,9.7200,248.5200,34.3800,14.2200,15.8400,230.4600
"scenario_label=random,TOTAL_TAGS=10000",27.5800,13.1200,2455.9600,46.9400,17.8200,21.1400,258.3800
"scenario_label=random,TOTAL_TAGS=2000",21.7400,10.6200,493.8200,37.9000,15.4600,17.3600,255.3200
"scenario_label=random,TOTAL_TAGS=3000",22.8400,11.2600,739.5800,39.7200,15.9200,18.2400,256.0400
"scenario_label=random,TOTAL_TAGS=5000",24.6600,12.0800,1230.2200,42.8800,16.7200,19.5400,256.2600
"scenario_label=random,TOTAL_TAGS=7000",26.0400,12.5400,1721.8800,44.6600,17.2800,20.4400,256.8600
"scenario_label=sequential,TOTAL_TAGS=1000",21.0000,10.0000,249.0000,34.0200,13.0000,16.0000,0.0000
"scenario_label=sequential,TOTAL_TAGS=10000",25.0000,14.0000,2457.7800,47.0400,17.0000,21.0000,157.0000
"scenario_label=sequential,TOTAL_TAGS=2000",21.0000,11.0000,493.0000,37.6800,14.0000,17.0000,0.0000
"scenario_label=sequential,TOTAL_TAGS=3000",19.0000,12.0000,738.2400,39.8400,14.0000,18.0000,0.0000
"scenario_label=sequential,TOTAL_TAGS=5000",25.0000,13.0000,1230.0000,42.5200,15.0000,19.0000,164.0000
"scenario_label=sequential,TOTAL_TAGS=7000",27.0000,13.0000,1719.0200,44.2600,16.0000,20.0000,219.0000
