scenario_point,SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",150.8000
"scenario_label=clustered,TOTAL_TAGS=10000",1398.6400
"scenario_label=clustered,TOTAL_TAGS=2000",195.6200
"scenario_label=clustered,TOTAL_TAGS=3000",269.4000
"scenario_label=clustered,TOTAL_TAGS=5000",482.1800
"scenario_label=clustered,TOTAL_TAGS=7000",790.1800
"scenario_label=prefixed,TOTAL_TAGS=1000",250.0600
"scenario_label=prefixed,TOTAL_TAGS=10000",949.5000
"scenario_label=prefixed,TOTAL_TAGS=2000",284.7800
"scenario_label=prefixed,TOTAL_TAGS=3000",322.6000
"scenario_label=prefixed,TOTAL_TAGS=5000",438.2800
"scenario_label=prefixed,TOTAL_TAGS=7000",607.4200
"scenario_label=random,TOTAL_TAGS=1000",248.5600
"scenario_label=random,TOTAL_TAGS=10000",950.8200
"scenario_label=random,TOTAL_TAGS=2000",284.2600
"scenario_label=random,TOTAL_TAGS=3000",323.8600
"scenario_label=random,TOTAL_TAGS=5000",435.3000
"scenario_label=random,TOTAL_TAGS=7000",603.7400
"scenario_label=sequential,TOTAL_TAGS=1000",0.0000
"scenario_label=sequential,TOTAL_TAGS=10000",158.0000
"scenario_label=sequential,TOTAL_TAGS=2000",0.0000
"scenario_label=sequential,TOTAL_TAGS=3000",0.0000
"scenario_label=sequential,TOTAL_TAGS=5000",158.0000
"scenario_label=sequential,TOTAL_TAGS=7000",220.0000
