scenario_point,SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",149.3000
"scenario_label=clustered,TOTAL_TAGS=10000",1393.6800
"scenario_label=clustered,TOTAL_TAGS=2000",194.4600
"scenario_label=clustered,TOTAL_TAGS=3000",267.9600
"scenario_label=clustered,TOTAL_TAGS=5000",479.8600
"scenario_label=clustered,TOTAL_TAGS=7000",787.2400
"scenario_label=prefixed,TOTAL_TAGS=1000",236.1200
"scenario_label=prefixed,TOTAL_TAGS=10000",946.2200
"scenario_label=prefixed,TOTAL_TAGS=2000",282.8800
"scenario_label=prefixed,TOTAL_TAGS=3000",321.3000
"scenario_label=prefixed,TOTAL_TAGS=5000",436.6800
"scenario_label=prefixed,TOTAL_TAGS=7000",605.1400
"scenario_label=random,TOTAL_TAGS=1000",235.0800
"scenario_label=random,TOTAL_TAGS=10000",947.4600
"scenario_label=random,TOTAL_TAGS=2000",282.3800
"scenario_label=random,TOTAL_TAGS=3000",322.5000
"scenario_label=random,TOTAL_TAGS=5000",433.6600
"scenario_label=random,TOTAL_TAGS=7000",601.4400
"scenario_label=sequential,TOTAL_TAGS=1000",0.0000
"scenario_label=sequential,TOTAL_TAGS=10000",157.0000
"scenario_label=sequential,TOTAL_TAGS=2000",0.0000
"scenario_label=sequential,TOTAL_TAGS=3000",0.0000
"scenario_label=sequential,TOTAL_TAGS=5000",157.0000
"scenario_label=sequential,TOTAL_TAGS=7000",219.0000
