scenario_point,SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",150.2800
"scenario_label=clustered,TOTAL_TAGS=10000",1393.0400
"scenario_label=clustered,TOTAL_TAGS=2000",195.4200
"scenario_label=clustered,TOTAL_TAGS=3000",268.6800
"scenario_label=clustered,TOTAL_TAGS=5000",480.3000
"scenario_label=clustered,TOTAL_TAGS=7000",787.3400
"scenario_label=prefixed,TOTAL_TAGS=1000",237.1200
"scenario_label=prefixed,TOTAL_TAGS=10000",947.2200
"scenario_label=prefixed,TOTAL_TAGS=2000",283.8800
"scenario_label=prefixed,TOTAL_TAGS=3000",322.3000
"scenario_label=prefixed,TOTAL_TAGS=5000",437.6800
"scenario_label=prefixed,TOTAL_TAGS=7000",606.1200
"scenario_label=random,TOTAL_TAGS=1000",236.0800
"scenario_label=random,TOTAL_TAGS=10000",948.4600
"scenario_label=random,TOTAL_TAGS=2000",283.3800
"scenario_label=random,TOTAL_TAGS=3000",323.5000
"scenario_label=random,TOTAL_TAGS=5000",434.6600
"scenario_label=random,TOTAL_TAGS=7000",602.4400
"scenario_label=sequential,TOTAL_TAGS=1000",1.0000
"scenario_label=sequential,TOTAL_TAGS=10000",158.0000
"scenario_label=sequential,TOTAL_TAGS=2000",1.0000
"scenario_label=sequential,TOTAL_TAGS=3000",1.0000
"scenario_label=sequential,TOTAL_TAGS=5000",157.0000
"scenario_label=sequential,TOTAL_TAGS=7000",220.0000
