scenario_point,SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",32152.8200
"scenario_label=clustered,TOTAL_TAGS=10000",41858.2400
"scenario_label=clustered,TOTAL_TAGS=2000",31892.3400
"scenario_label=clustered,TOTAL_TAGS=3000",31991.4800
"scenario_label=clustered,TOTAL_TAGS=5000",33166.0600
"scenario_label=clustered,TOTAL_TAGS=7000",35772.0000
"scenario_label=prefixed,TOTAL_TAGS=1000",58309.8000
"scenario_label=prefixed,TOTAL_TAGS=10000",65889.3000
"scenario_label=prefixed,TOTAL_TAGS=2000",63704.0000
"scenario_label=prefixed,TOTAL_TAGS=3000",63515.5000
"scenario_label=prefixed,TOTAL_TAGS=5000",63246.2000
"scenario_label=prefixed,TOTAL_TAGS=7000",63772.8200
"scenario_label=random,TOTAL_TAGS=1000",58092.6000
"scenario_label=random,TOTAL_TAGS=10000",65907.9000
"scenario_label=random,TOTAL_TAGS=2000",63768.5000
"scenario_label=random,TOTAL_TAGS=3000",63533.5000
"scenario_label=random,TOTAL_TAGS=5000",63200.9000
"scenario_label=random,TOTAL_TAGS=7000",63717.6000
"scenario_label=sequential,TOTAL_TAGS=1000",24.0000
"scenario_label=sequential,TOTAL_TAGS=10000",99.0000
"scenario_label=sequential,TOTAL_TAGS=2000",48.0000
"scenario_label=sequential,TOTAL_TAGS=3000",1096.0000
"scenario_label=sequential,TOTAL_TAGS=5000",99.0000
"scenario_label=sequential,TOTAL_TAGS=7000",45.0000
