scenario_point,SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",1149.2600
"scenario_label=clustered,TOTAL_TAGS=10000",11390.4000
"scenario_label=clustered,TOTAL_TAGS=2000",2194.3800
"scenario_label=clustered,TOTAL_TAGS=3000",3267.4000
"scenario_label=clustered,TOTAL_TAGS=5000",5478.7400
"scenario_label=clustered,TOTAL_TAGS=7000",7785.4400
"scenario_label=prefixed,TOTAL_TAGS=1000",1236.1200
"scenario_label=prefixed,TOTAL_TAGS=10000",10946.2200
"scenario_label=prefixed,TOTAL_TAGS=2000",2282.8800
"scenario_label=prefixed,TOTAL_TAGS=3000",3321.3000
"scenario_label=prefixed,TOTAL_TAGS=5000",5436.6800
"scenario_label=prefixed,TOTAL_TAGS=7000",7605.1000
"scenario_label=random,TOTAL_TAGS=1000",1235.0800
"scenario_label=random,TOTAL_TAGS=10000",10947.4600
"scenario_label=random,TOTAL_TAGS=2000",2282.3800
"scenario_label=random,TOTAL_TAGS=3000",3322.5000
"scenario_label=random,TOTAL_TAGS=5000",5433.6600
"scenario_label=random,TOTAL_TAGS=7000",7601.4400
"scenario_label=sequential,TOTAL_TAGS=1000",1000.0000
"scenario_label=sequential,TOTAL_TAGS=10000",10157.0000
"scenario_label=sequential,TOTAL_TAGS=2000",2000.0000
"scenario_label=sequential,TOTAL_TAGS=3000",3000.0000
"scenario_label=sequential,TOTAL_TAGS=5000",5149.0000
"scenario_label=sequential,TOTAL_TAGS=7000",7219.0000
