scenario_point,SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",999.9600
"scenario_label=clustered,TOTAL_TAGS=10000",9996.7200
"scenario_label=clustered,TOTAL_TAGS=2000",1999.9200
"scenario_label=clustered,TOTAL_TAGS=3000",2999.4400
"scenario_label=clustered,TOTAL_TAGS=5000",4998.8800
"scenario_label=clustered,TOTAL_TAGS=7000",6998.2000
"scenario_label=prefixed,TOTAL_TAGS=1000",1000.0000
"scenario_label=prefixed,TOTAL_TAGS=10000",10000.0000
"scenario_label=prefixed,TOTAL_TAGS=2000",2000.0000
"scenario_label=prefixed,TOTAL_TAGS=3000",3000.0000
"scenario_label=prefixed,TOTAL_TAGS=5000",5000.0000
"scenario_label=prefixed,TOTAL_TAGS=7000",6999.9600
"scenario_label=random,TOTAL_TAGS=1000",1000.0000
"scenario_label=random,TOTAL_TAGS=10000",10000.0000
"scenario_label=random,TOTAL_TAGS=2000",2000.0000
"scenario_label=random,TOTAL_TAGS=3000",3000.0000
"scenario_label=random,TOTAL_TAGS=5000",5000.0000
"scenario_label=random,TOTAL_TAGS=7000",7000.0000
"scenario_label=sequential,TOTAL_TAGS=1000",1000.0000
"scenario_label=sequential,TOTAL_TAGS=10000",10000.0000
"scenario_label=sequential,TOTAL_TAGS=2000",2000.0000
"scenario_label=sequential,TOTAL_TAGS=3000",3000.0000
"scenario_label=sequential,TOTAL_TAGS=5000",4992.0000
"scenario_label=sequential,TOTAL_TAGS=7000",7000.0000
