scenario_point,SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",0.0000
"scenario_label=clustered,TOTAL_TAGS=10000",0.0000
"scenario_label=clustered,TOTAL_TAGS=2000",0.0000
"scenario_label=clustered,TOTAL_TAGS=3000",0.0000
"scenario_label=clustered,TOTAL_TAGS=5000",0.0000
"scenario_label=clustered,TOTAL_TAGS=7000",0.0000
"scenario_label=prefixed,TOTAL_TAGS=1000",0.0000
"scenario_label=prefixed,TOTAL_TAGS=10000",0.0000
"scenario_label=prefixed,TOTAL_TAGS=2000",0.0000
"scenario_label=prefixed,TOTAL_TAGS=3000",0.0000
"scenario_label=prefixed,TOTAL_TAGS=5000",0.0000
"scenario_label=prefixed,TOTAL_TAGS=7000",0.0000
"scenario_label=random,TOTAL_TAGS=1000",0.0000
"scenario_label=random,TOTAL_TAGS=10000",0.0000
"scenario_label=random,TOTAL_TAGS=2000",0.0000
"scenario_label=random,TOTAL_TAGS=3000",0.0000
"scenario_label=random,TOTAL_TAGS=5000",0.0000
"scenario_label=random,TOTAL_TAGS=7000",0.0000
"scenario_label=sequential,TOTAL_TAGS=1000",1.0000
"scenario_label=sequential,TOTAL_TAGS=10000",0.0000
"scenario_label=sequential,TOTAL_TAGS=2000",1.0000
"scenario_label=sequential,TOTAL_TAGS=3000",1.0000
"scenario_label=sequential,TOTAL_TAGS=5000",0.0000
"scenario_label=sequential,TOTAL_TAGS=7000",0.0000
