scenario_point,algorithm_name,metric,mean,std,p95,ci95,n
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),total_protocol_time_ms,1617.663575,26.579856,1662.298750,7.367560,50
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),throughput_tags_per_sec,618.339725,10.200559,635.606142,2.827451,50
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),system_efficiency,0.334282,0.006740,0.344619,0.001868,50
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),collision_slots,932.560000,17.701793,961.000000,4.906687,50
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),idle_slots,1060.120000,51.278607,1155.400000,14.213705,50
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),total_energy_uj,82031.985582,1604.105547,84485.749238,444.635373,50
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),total_listening_energy_uj,81620.931632,1604.192066,84056.869438,444.659355,50
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),total_transmission_energy_uj,411.053950,24.352130,447.293675,6.750066,50
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),total_bits,559794.800000,48874.985895,635591.650000,13547.454911,50
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),avg_tag_bits,472.357100,49.050822,549.259750,13.596194,50
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),avg_reader_bits,87.437700,1.707757,90.237650,0.473366,50
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),avg_total_bits,559.794800,48.874986,635.591650,13.547455,50
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),avg_query_efficiency,1.072697,0.020436,1.106318,0.005665,50
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),peak_stack_depth,17.520000,1.297407,20.000000,0.359623,50
"scenario_label=clustered,TOTAL_TAGS=1000",DQTA(k_max=3),avg_tag_responses,4.693920,0.267272,5.107100,0.074084,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,total_protocol_time_ms,2669.981175,41.082320,2742.479125,11.387438,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,throughput_tags_per_sec,374.621264,5.756867,383.436524,1.595722,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,system_efficiency,0.260280,0.003941,0.266344,0.001092,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,collision_slots,1920.440000,29.099520,1971.500000,8.065975,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,idle_slots,922.440000,29.099520,973.500000,8.065975,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,total_energy_uj,137275.557965,2254.399861,140929.670187,624.887760,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,energy_per_tag_uj,137.275558,2.254400,140.929670,0.624888,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,total_reader_tx_energy_uj,347.146400,5.796612,357.421800,1.606739,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,total_tag_tx_energy_uj,157.475690,0.204796,157.763600,0.056767,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,total_listening_energy_uj,136770.935875,2249.044414,140413.825663,623.403306,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,total_transmission_energy_uj,504.622090,5.938088,515.106700,1.645954,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,total_bits,488524.580000,3191.579374,494080.700000,884.660668,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,avg_tag_bits,314.951380,0.409593,315.527200,0.113533,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,avg_reader_bits,173.573200,2.898306,178.710900,0.803369,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,avg_total_bits,488.524580,3.191579,494.080700,0.884661,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,avg_query_efficiency,0.520831,0.007890,0.532971,0.002187,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,peak_stack_depth,9.880000,0.824126,11.550000,0.228436,50
"scenario_label=clustered,TOTAL_TAGS=1000",DRCT,avg_tag_responses,72.279960,0.062308,72.391200,0.017271,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,total_protocol_time_ms,2637.293300,76.011200,2750.099250,21.069230,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,throughput_tags_per_sec,379.482735,10.847751,394.092922,3.006843,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,system_efficiency,0.489454,0.021067,0.520048,0.005840,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,collision_slots,1046.840000,88.999968,1175.900000,24.669532,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,idle_slots,0.000000,0.000000,0.000000,0.000000,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,total_energy_uj,132184.984050,3874.102725,138261.238131,1073.846489,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,total_listening_energy_uj,131758.604510,3861.560782,137817.597956,1070.370040,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,total_transmission_energy_uj,426.379540,12.827434,445.684500,3.555583,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,total_bits,320022.200000,15305.457595,342882.000000,4242.456399,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,avg_tag_bits,142.443240,12.017298,160.059300,3.331025,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,avg_reader_bits,177.578960,3.586903,182.922600,0.994239,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,avg_total_bits,320.022200,15.305458,342.882000,4.242456,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,avg_query_efficiency,0.961960,0.081078,1.083542,0.022474,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,peak_stack_depth,248.180000,2.904536,253.000000,0.805096,50
"scenario_label=clustered,TOTAL_TAGS=1000",EAQ_CBB,avg_tag_responses,4.368480,0.260626,4.757300,0.072242,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,total_protocol_time_ms,1339.500900,41.038590,1419.031250,11.375317,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,throughput_tags_per_sec,747.225563,22.624604,781.106984,6.271220,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,system_efficiency,0.562991,0.029528,0.604632,0.008185,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,collision_slots,564.120000,45.943017,653.950000,12.734755,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,idle_slots,217.000000,50.123521,308.600000,13.893531,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,total_energy_uj,67152.400805,2523.243549,71922.662100,699.407429,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,total_listening_energy_uj,67026.661045,2524.528449,71801.917100,699.763585,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,total_transmission_energy_uj,125.739760,2.895934,129.938600,0.802712,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,total_bits,167365.160000,2843.057225,171111.700000,788.055257,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,avg_tag_bits,139.327040,1.924638,141.894400,0.533482,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,avg_reader_bits,28.038120,1.013514,29.550400,0.280932,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,avg_total_bits,167.365160,2.843057,171.111700,0.788055,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,avg_query_efficiency,1.783969,0.142146,2.004418,0.039401,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,peak_stack_depth,34.160000,1.433705,36.000000,0.397403,50
"scenario_label=clustered,TOTAL_TAGS=1000",EMDT,avg_tag_responses,4.539900,0.067992,4.661600,0.018846,50
"scenario_label=clustered,TOTAL_TAGS=1000",HT_EEAC,total_protocol_time_ms,2609.204850,70.090995,2711.556375,19.428233,50
"scenario_label=clustered,TOTAL_TAGS=1000",HT_EEAC,throughput_tags_per_sec,383.532761,10.421732,401.853288,2.888757,50
"scenario_label=clustered,TOTAL_TAGS=1000",HT_EEAC,system_efficiency,0.213066,0.007925,0.225999,0.002197,50
"scenario_label=clustered,TOTAL_TAGS=1000",HT_EEAC,collision_slots,2525.580000,118.010046,2713.200000,32.710716,50
"scenario_label=clustered,TOTAL_TAGS=1000",HT_EEAC,idle_slots,1174.080000,102.999077,1308.250000,28.549887,50
"scenario_label=clustered,TOTAL_TAGS=1000",HT_EEAC,total_energy_uj,148795.768405,4390.360471,154847.798750,1216.945835,50
"scenario_label=clustered,TOTAL_TAGS=1000",HT_EEAC,total_listening_energy_uj,148512.778725,4383.304399,154553.197350,1214.989992,50
"scenario_label=clustered,TOTAL_TAGS=1000",HT_EEAC,total_transmission_energy_uj,282.989680,8.360254,295.605800,2.317344,50
"scenario_label=clustered,TOTAL_TAGS=1000",HT_EEAC,total_bits,255801.800000,5433.112871,263214.900000,1505.982054,50
"scenario_label=clustered,TOTAL_TAGS=1000",HT_EEAC,avg_tag_bits,152.409280,1.888161,155.411200,0.523371,50
"scenario_label=clustered,TOTAL_TAGS=1000",HT_EEAC,avg_reader_bits,103.392520,3.788095,109.090300,1.050006,50
"scenario_label=clustered,TOTAL_TAGS=1000",HT_EEAC,avg_total_bits,255.801800,5.433113,263.214900,1.505982,50
"scenario_label=clustered,TOTAL_TAGS=1000",HT_EEAC,avg_query_efficiency,0.396820,0.019079,0.429113,0.005289,50
"scenario_label=clustered,TOTAL_TAGS=1000",HT_EEAC,avg_tag_responses,82.141400,12.310220,96.810400,3.412219,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,total_protocol_time_ms,2937.865500,3.178693,2943.364375,0.881089,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,throughput_tags_per_sec,340.383570,0.368143,340.871348,0.102044,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,system_efficiency,0.493292,0.000688,0.494315,0.000191,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,collision_slots,1021.000000,2.356060,1025.000000,0.653067,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,idle_slots,6.200000,1.916630,8.000000,0.531263,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,total_energy_uj,148137.591623,206.263831,148567.022875,57.173417,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,total_listening_energy_uj,147531.786442,196.451113,147941.708900,54.453470,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,total_transmission_energy_uj,605.805180,12.026430,629.008475,3.333556,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,total_bits,587206.740000,23323.032156,632570.800000,6464.814684,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,avg_tag_bits,379.072200,23.080564,424.088750,6.397606,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,avg_reader_bits,208.134540,0.261745,208.585200,0.072552,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,avg_total_bits,587.206740,23.323032,632.570800,6.464815,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,avg_query_efficiency,0.979437,0.002262,0.983284,0.000627,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,peak_stack_depth,13.040000,0.879703,14.000000,0.243841,50
"scenario_label=clustered,TOTAL_TAGS=1000",LAPCT,avg_tag_responses,9.541160,0.363764,10.172750,0.100830,50
"scenario_label=clustered,TOTAL_TAGS=1000",NLHQT(n=2),total_protocol_time_ms,2738.904425,27.244650,2780.844625,7.551832,50
