scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",0.3343,0.2603,0.4895,0.5630,0.2131,0.4933,0.3033,0.7692
"scenario_label=clustered,TOTAL_TAGS=10000",0.3303,0.3353,0.4912,0.5019,0.0615,0.4980,0.3487,0.7817
"scenario_label=clustered,TOTAL_TAGS=2000",0.3303,0.2967,0.4894,0.5814,0.1496,0.4954,0.3274,0.8368
"scenario_label=clustered,TOTAL_TAGS=3000",0.3388,0.3130,0.4912,0.5429,0.1244,0.4969,0.3356,0.8481
"scenario_label=clustered,TOTAL_TAGS=5000",0.3425,0.3255,0.4895,0.5169,0.0842,0.4981,0.3433,0.8387
"scenario_label=clustered,TOTAL_TAGS=7000",0.3372,0.3310,0.4894,0.4985,0.0693,0.4972,0.3464,0.8161
"scenario_label=prefixed,TOTAL_TAGS=1000",0.3333,0.3339,0.5454,0.5624,0.2151,0.4901,0.3550,0.6729
"scenario_label=prefixed,TOTAL_TAGS=10000",0.3303,0.3453,0.5463,0.5037,0.0615,0.4990,0.3543,0.8407
"scenario_label=prefixed,TOTAL_TAGS=2000",0.3309,0.3422,0.5456,0.5823,0.1503,0.4949,0.3546,0.7789
"scenario_label=prefixed,TOTAL_TAGS=3000",0.3392,0.3433,0.5472,0.5435,0.1252,0.4966,0.3548,0.8233
"scenario_label=prefixed,TOTAL_TAGS=5000",0.3422,0.3448,0.5465,0.5157,0.0841,0.4980,0.3548,0.8511
"scenario_label=prefixed,TOTAL_TAGS=7000",0.3368,0.3460,0.5460,0.4998,0.0687,0.4985,0.3545,0.8524
"scenario_label=random,TOTAL_TAGS=1000",0.3339,0.3457,0.5466,0.5648,0.2132,0.4901,0.3545,0.6740
"scenario_label=random,TOTAL_TAGS=10000",0.3306,0.3469,0.5464,0.5024,0.0618,0.4990,0.3542,0.8405
"scenario_label=random,TOTAL_TAGS=2000",0.3317,0.3470,0.5465,0.5834,0.1493,0.4949,0.3549,0.7792
"scenario_label=random,TOTAL_TAGS=3000",0.3391,0.3473,0.5457,0.5439,0.1249,0.4966,0.3543,0.8228
"scenario_label=random,TOTAL_TAGS=5000",0.3426,0.3470,0.5463,0.5182,0.0843,0.4980,0.3550,0.8520
"scenario_label=random,TOTAL_TAGS=7000",0.3374,0.3471,0.5460,0.4989,0.0693,0.4985,0.3546,0.8531
"scenario_label=sequential,TOTAL_TAGS=1000",0.4682,0.4600,0.5464,0.5686,0.2149,0.4904,0.4283,1.0000
"scenario_label=sequential,TOTAL_TAGS=10000",0.6359,0.4957,0.5255,0.5023,0.0620,0.4976,0.4285,0.9695
"scenario_label=sequential,TOTAL_TAGS=2000",0.6345,0.4794,0.5456,0.5828,0.1488,0.4948,0.3749,1.0000
"scenario_label=sequential,TOTAL_TAGS=3000",0.7770,0.4861,0.5249,0.5431,0.1250,0.4973,0.4284,1.0000
"scenario_label=sequential,TOTAL_TAGS=5000",0.4669,0.4914,0.5254,0.5175,0.0842,0.4984,0.3748,0.9407
"scenario_label=sequential,TOTAL_TAGS=7000",0.4668,0.4939,0.5353,0.4990,0.0691,0.4985,0.3750,0.9410
