scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",618.3397,374.6213,379.4827,747.2256,383.5328,340.3836,365.1449,798.4196
"scenario_label=clustered,TOTAL_TAGS=10000",620.1094,431.4824,380.4565,730.5417,125.4590,337.1935,397.7035,982.8577
"scenario_label=clustered,TOTAL_TAGS=2000",630.8886,405.0579,379.4659,739.7928,282.5799,339.4462,384.3221,1033.8294
"scenario_label=clustered,TOTAL_TAGS=3000",647.1990,418.2129,380.5358,707.5632,239.6231,338.6087,390.6666,1106.5778
"scenario_label=clustered,TOTAL_TAGS=5000",639.5436,426.3309,379.5675,716.8097,168.1145,337.7164,394.9534,1116.0387
"scenario_label=clustered,TOTAL_TAGS=7000",625.8826,429.3498,379.4911,726.1980,140.2915,337.8114,395.9316,1066.2742
"scenario_label=prefixed,TOTAL_TAGS=1000",619.1586,471.2081,382.5124,747.4552,386.3488,352.3090,775.0920,572.5809
"scenario_label=prefixed,TOTAL_TAGS=10000",618.2736,472.0455,383.0823,732.0750,125.5975,346.2816,753.1555,1065.5391
"scenario_label=prefixed,TOTAL_TAGS=2000",631.4853,476.5578,382.6390,740.6780,283.5759,349.6095,768.3467,794.0604
"scenario_label=prefixed,TOTAL_TAGS=3000",643.7014,475.5995,383.6328,708.5026,241.0417,348.5046,765.0469,925.0631
"scenario_label=prefixed,TOTAL_TAGS=5000",636.0189,474.8587,383.1586,715.6850,168.0190,347.4205,760.6705,1040.1711
"scenario_label=prefixed,TOTAL_TAGS=7000",623.7492,474.2894,382.8490,728.2756,139.2894,346.8294,757.0062,1071.7211
"scenario_label=random,TOTAL_TAGS=1000",611.5198,674.4000,447.1815,749.6363,384.1916,389.1547,553.3016,571.2328
"scenario_label=random,TOTAL_TAGS=10000",610.6767,656.9932,447.0756,731.8083,126.0550,385.9439,542.0541,888.9083
"scenario_label=random,TOTAL_TAGS=2000",620.1859,670.5696,447.1701,741.4369,282.0406,388.1693,550.6869,720.1582
"scenario_label=random,TOTAL_TAGS=3000",629.8795,667.3619,446.7028,709.2186,240.4691,387.5923,547.8643,798.2048
"scenario_label=random,TOTAL_TAGS=5000",623.7523,663.0814,447.0136,718.4591,168.2743,386.8899,546.2465,865.6439
"scenario_label=random,TOTAL_TAGS=7000",614.6897,660.4309,446.8969,727.4046,140.3366,386.4311,544.5041,886.4150
"scenario_label=sequential,TOTAL_TAGS=1000",536.8029,531.0918,344.1517,751.9958,386.0593,328.1346,1535.9508,2332.2527
"scenario_label=sequential,TOTAL_TAGS=10000",1024.5183,555.7199,333.9677,730.6851,126.4238,323.6114,1396.2892,2169.3574
"scenario_label=sequential,TOTAL_TAGS=2000",1018.6437,544.7495,344.5242,740.9801,281.3277,325.2310,1200.0615,2304.8246
"scenario_label=sequential,TOTAL_TAGS=3000",1896.8104,549.2864,331.9895,707.6415,240.5491,323.7251,1463.6360,2263.0920
"scenario_label=sequential,TOTAL_TAGS=5000",534.2596,552.7513,332.9831,717.4259,168.1433,323.1552,1143.3726,1952.0651
"scenario_label=sequential,TOTAL_TAGS=7000",534.0781,554.5611,339.6875,727.4190,139.9652,323.1301,1143.7058,1954.5402
