scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",559794.8000,488524.5800,320022.2000,167365.1600,255801.8000,587206.7400,443617.0000,154350.5000
"scenario_label=clustered,TOTAL_TAGS=10000",6116870.3000,4777556.1600,3180079.2400,1722376.1600,7048270.1600,6394004.0400,4398183.2000,1547651.0000
"scenario_label=clustered,TOTAL_TAGS=2000",1155804.0600,958566.4200,639549.7400,345762.4800,668374.2800,1207700.6600,877827.2800,284008.8200
"scenario_label=clustered,TOTAL_TAGS=3000",1733335.1400,1428715.8400,954354.1800,517749.9600,1163078.0400,1840513.6000,1313422.2600,420573.8000
"scenario_label=clustered,TOTAL_TAGS=5000",2941982.7400,2379372.3800,1598547.7000,848407.2400,2679629.7200,3176688.2200,2193441.3200,713404.6400
"scenario_label=clustered,TOTAL_TAGS=7000",4227114.4000,3336593.6800,2239774.7800,1179349.7600,4442906.2000,4445811.5200,3078875.2000,1031251.2600
"scenario_label=prefixed,TOTAL_TAGS=1000",413965.6000,406198.0000,260250.3200,166955.8000,254234.4400,504165.8600,169633.4400,157749.0800
"scenario_label=prefixed,TOTAL_TAGS=10000",4930223.8200,4178384.2800,2598202.8800,1722822.8000,7041971.6400,6306985.5600,1787650.9200,1265420.5200
"scenario_label=prefixed,TOTAL_TAGS=2000",871870.7000,816163.6600,520222.4600,345761.9200,666447.4400,1087203.3600,344762.6800,271414.8400
"scenario_label=prefixed,TOTAL_TAGS=3000",1341676.0400,1231051.6200,778523.4400,517475.4400,1156778.4000,1699126.9400,521781.2400,384690.1600
"scenario_label=prefixed,TOTAL_TAGS=5000",2328732.7400,2066843.5000,1298930.8800,848459.8400,2681338.0800,2971021.0800,879596.7200,620842.4400
"scenario_label=prefixed,TOTAL_TAGS=7000",3358603.5400,2906908.6800,1819826.6200,1178921.3600,4472902.9600,4285882.0000,1241163.0000,870031.3600
"scenario_label=random,TOTAL_TAGS=1000",758239.5400,191703.0200,286847.7000,167310.2000,255278.8400,809156.4600,265657.1200,182186.9200
"scenario_label=random,TOTAL_TAGS=10000",9442130.2200,2054825.7400,2868968.7800,1720899.7600,7017143.1600,10924424.7200,2747754.6000,1654581.9800
"scenario_label=random,TOTAL_TAGS=2000",1625997.7800,390804.1800,573674.5200,345750.2000,669487.8400,1789293.3800,536564.5200,340043.5000
"scenario_label=random,TOTAL_TAGS=3000",2528200.8600,593950.7400,861812.3800,517567.6800,1159365.0800,2836463.1400,810022.4800,497921.7000
"scenario_label=random,TOTAL_TAGS=5000",4422529.8000,1004541.3600,1434774.2400,848126.7600,2677521.0800,5042520.4000,1359594.0800,818352.6200
"scenario_label=random,TOTAL_TAGS=7000",6396812.2400,1421283.8000,2008652.0600,1178973.6800,4440991.4800,7346468.0400,1912835.4800,1147221.8600
"scenario_label=sequential,TOTAL_TAGS=1000",168102.0000,516376.0000,238389.4400,167769.7200,254423.9600,263524.0000,72574.0000,33183.0000
"scenario_label=sequential,TOTAL_TAGS=10000",1329872.0000,5107454.0000,2504287.0000,1722818.8800,6998776.3200,2973813.0000,897960.0000,623370.0000
"scenario_label=sequential,TOTAL_TAGS=2000",216838.0000,1026336.0000,478695.0200,345752.9600,671110.5200,547245.0000,175573.0000,68189.0000
"scenario_label=sequential,TOTAL_TAGS=3000",243585.0000,1536469.0000,748601.5400,517757.7600,1158893.9200,851547.0000,243470.0000,105195.0000
"scenario_label=sequential,TOTAL_TAGS=5000",958828.0000,2557149.0000,1249550.4800,848219.9600,2679384.2400,1463342.0000,485461.0000,317614.0000
"scenario_label=sequential,TOTAL_TAGS=7000",1342829.0000,3577043.0000,1716049.9000,1179034.8400,4452756.2800,2052045.0000,679533.0000,444401.0000
