scenario_point,DQTA(k_max=3),DRCT,EAQ_CBB,EMDT,HT_EEAC,LAPCT,NLHQT(n=2),SGCT
"scenario_label=clustered,TOTAL_TAGS=1000",82031.9856,137275.5580,132184.9840,67152.4008,148795.7684,148137.5916,139566.3397,63497.6054
"scenario_label=clustered,TOTAL_TAGS=10000",8074568.5768,11631603.8515,13155264.3200,6846640.9788,46879169.5552,14843476.9668,12607463.2064,5082473.0386
"scenario_label=clustered,TOTAL_TAGS=2000",319691.9842,501325.2335,528366.4656,270510.9101,822602.6048,591964.9478,525726.2107,195046.7339
"scenario_label=clustered,TOTAL_TAGS=3000",699716.2084,1087852.0758,1185288.0003,637210.0206,2211723.8788,1332978.6231,1159396.6907,409085.6446
"scenario_label=clustered,TOTAL_TAGS=5000",1961561.8545,2953674.6041,3298288.0533,1743829.8583,9282073.9137,3708477.2417,3177255.0582,1124842.8867
"scenario_label=clustered,TOTAL_TAGS=7000",3928625.8925,5740625.6652,6463707.9414,3379747.4025,21341830.6973,7262364.6568,6206075.3017,2301746.4554
"scenario_label=prefixed,TOTAL_TAGS=1000",81703.9463,109293.3722,131409.4158,67131.9405,147200.9121,143032.0378,64864.3325,88906.2774
"scenario_label=prefixed,TOTAL_TAGS=10000",8100252.1050,10624596.5115,13053757.2564,6831679.9212,46864159.1562,14453047.1315,6646291.7851,4716804.0079
"scenario_label=prefixed,TOTAL_TAGS=2000",318955.0574,425837.3135,523701.6967,270434.5326,820137.0391,574450.5011,261335.8767,257481.5396
"scenario_label=prefixed,TOTAL_TAGS=3000",703053.3094,956366.7966,1174911.6659,636307.8963,2194227.5070,1294977.1909,589084.1703,495715.3690
"scenario_label=prefixed,TOTAL_TAGS=5000",1970181.3919,2647036.0173,3266018.4624,1746590.9271,9302359.9891,3604463.4572,1646371.4216,1215669.8068
"scenario_label=prefixed,TOTAL_TAGS=7000",3938183.8471,5186213.6186,6401583.6184,3364658.0662,21569026.0363,7073439.4046,3238511.5433,2306166.8237
"scenario_label=random,TOTAL_TAGS=1000",83047.2459,74756.4088,112310.6528,66957.1643,147858.9883,129694.7797,90824.6565,89287.9035
"scenario_label=random,TOTAL_TAGS=10000",8205759.9253,7624675.5386,11184685.9253,6837902.8347,46667533.3475,12970534.8619,9230371.9325,5650038.5665
"scenario_label=random,TOTAL_TAGS=2000",325648.0132,299802.8541,447787.4284,269605.6437,823573.2129,517860.9550,364154.9468,283049.6046
"scenario_label=random,TOTAL_TAGS=3000",718956.3389,676309.9032,1008830.4317,635619.1503,2203062.5230,1165109.0704,823338.0075,571619.7317
"scenario_label=random,TOTAL_TAGS=5000",2011091.2292,1891443.8842,2797613.2988,1742403.5749,9287376.4393,3238074.9772,2290730.6752,1457773.5883
"scenario_label=random,TOTAL_TAGS=7000",3998833.6982,3718477.2920,5484704.7509,3374590.3297,21333834.2710,6350480.5135,4501039.2866,2785021.6002
"scenario_label=sequential,TOTAL_TAGS=1000",93553.3975,99760.7970,145897.9201,66834.2908,147533.3039,153431.4495,32799.9500,21905.8660
"scenario_label=sequential,TOTAL_TAGS=10000",4897848.6870,9050979.8500,14979946.3931,6841353.7845,46570875.9914,15468050.9240,3583741.1160,2325443.3620
"scenario_label=sequential,TOTAL_TAGS=2000",199478.8710,378365.9925,581408.2065,270723.4128,827057.8642,617105.7480,167254.4200,88356.7530
"scenario_label=sequential,TOTAL_TAGS=3000",239734.9945,835998.8630,1357436.8404,636036.6015,2197593.5343,1393601.3085,308296.8800,203148.0150
"scenario_label=sequential,TOTAL_TAGS=5000",2342602.8995,2288241.0235,3757428.1718,1743228.9219,9301131.3850,3872834.5015,1094757.2050,650615.2035
"scenario_label=sequential,TOTAL_TAGS=7000",4591991.0765,4456283.8875,7215581.1082,3368790.4971,21405277.8904,7588499.6365,2144434.1070,1271345.3575
